日期,收盘价,市盈率
2004-01-01,1011.35,nan
2004-01-02,1011.35,nan
2004-01-05,1060.8,nan
2004-01-06,1075.66,nan
2004-01-07,1086.3,nan
2004-01-08,1102.66,nan
2004-01-09,1081.79,nan
2004-01-12,1116.8,nan
2004-01-13,1102.44,nan
2004-01-14,1079.82,nan
2004-01-15,1074.07,nan
2004-01-16,1083.75,nan
2004-01-29,1100.7,nan
2004-01-30,1067.65,nan
2004-02-02,1091.83,nan
2004-02-03,1103.05,nan
2004-02-04,1128.55,nan
2004-02-05,1128.0,nan
2004-02-06,1122.19,nan
2004-02-09,1134.71,nan
2004-02-10,1121.06,nan
2004-02-11,1110.16,nan
2004-02-12,1094.21,nan
2004-02-13,1096.46,nan
2004-02-16,1123.85,nan
2004-02-17,1123.72,nan
2004-02-18,1129.38,nan
2004-02-19,1122.48,nan
2004-02-20,1124.76,nan
2004-02-23,1093.24,nan
2004-02-24,1093.2,nan
2004-02-25,1070.46,nan
2004-02-26,1080.0,nan
2004-02-27,1088.82,nan
2004-03-01,1094.34,nan
2004-03-02,1093.49,nan
2004-03-03,1072.74,nan
2004-03-04,1078.45,nan
2004-03-05,1071.68,nan
2004-03-08,1057.2,nan
2004-03-09,1061.26,nan
2004-03-10,1091.2,nan
2004-03-11,1095.66,nan
2004-03-12,1099.18,nan
2004-03-15,1131.78,nan
2004-03-16,1135.67,nan
2004-03-17,1135.27,nan
2004-03-18,1111.95,nan
2004-03-19,1129.88,nan
2004-03-22,1134.89,nan
2004-03-23,1121.43,nan
2004-03-24,1115.61,nan
2004-03-25,1115.34,nan
2004-03-26,1112.88,nan
2004-03-29,1101.76,nan
2004-03-30,1101.37,nan
2004-03-31,1108.64,nan
2004-04-01,1123.54,nan
2004-04-02,1127.91,nan
2004-04-05,1118.37,nan
2004-04-06,1123.96,nan
2004-04-07,1117.54,nan
2004-04-08,1112.94,nan
2004-04-09,1088.26,nan
2004-04-12,1080.18,nan
2004-04-13,1073.13,nan
2004-04-14,1066.08,nan
2004-04-15,1056.28,nan
2004-04-16,1071.63,nan
2004-04-19,1055.13,nan
2004-04-20,1052.64,nan
2004-04-21,1043.92,nan
2004-04-22,1051.15,nan
2004-04-23,1034.79,nan
2004-04-26,1039.39,nan
2004-04-27,1031.6,nan
2004-04-28,1030.19,nan
2004-04-29,1016.89,nan
2004-04-30,1026.34,nan
2004-05-10,996.54,nan
2004-05-11,1004.27,nan
2004-05-12,1025.4,nan
2004-05-13,1021.38,nan
2004-05-14,998.32,nan
2004-05-17,982.1,nan
2004-05-18,989.57,nan
2004-05-19,989.29,nan
2004-05-20,986.73,nan
2004-05-21,995.25,nan
2004-05-24,992.7,nan
2004-05-25,979.44,nan
2004-05-26,985.85,nan
2004-05-27,1004.15,nan
2004-05-28,996.49,nan
2004-05-31,1002.06,nan
2004-06-01,1016.11,nan
2004-06-02,1003.6,nan
2004-06-03,988.33,nan
2004-06-04,988.11,nan
2004-06-07,975.64,nan
2004-06-08,957.14,nan
2004-06-09,943.71,nan
2004-06-10,946.67,nan
2004-06-11,945.46,nan
2004-06-14,927.14,nan
2004-06-15,945.27,nan
2004-06-16,949.77,nan
2004-06-17,928.58,nan
2004-06-18,913.35,nan
2004-06-21,914.61,nan
2004-06-22,924.42,nan
2004-06-23,918.44,nan
2004-06-24,911.97,nan
2004-06-25,897.84,nan
2004-06-28,889.75,nan
2004-06-29,907.25,nan
2004-06-30,903.89,nan
2004-07-01,931.37,nan
2004-07-02,933.0,nan
2004-07-05,935.06,nan
2004-07-06,938.55,nan
2004-07-07,930.48,nan
2004-07-08,933.67,nan
2004-07-09,930.42,nan
2004-07-12,911.62,nan
2004-07-13,914.45,nan
2004-07-14,919.72,nan
2004-07-15,933.62,nan
2004-07-16,954.3,nan
2004-07-19,955.63,nan
2004-07-20,947.36,nan
2004-07-21,948.66,nan
2004-07-22,921.3,nan
2004-07-23,923.22,nan
2004-07-26,911.82,nan
2004-07-27,911.39,nan
