日期,收盘价,市盈率
2004-01-01,1000.0,nan
2004-12-31,1000.0,nan
2005-01-04,986.93,nan
2005-01-05,1003.63,nan
2005-01-06,994.6,nan
2005-01-07,997.61,nan
2005-01-10,1006.34,nan
2005-01-11,1008.34,nan
2005-01-12,1008.62,nan
2005-01-13,1013.07,nan
2005-01-14,1000.17,nan
2005-01-17,977.52,nan
2005-01-18,991.42,nan
2005-01-19,986.24,nan
2005-01-20,972.46,nan
2005-01-21,988.52,nan
2005-01-24,1008.17,nan
2005-01-25,999.55,nan
2005-01-26,987.96,nan
2005-01-27,971.37,nan
2005-01-28,952.41,nan
2005-01-31,922.65,nan
2005-02-01,913.33,nan
2005-02-02,964.24,nan
2005-02-03,945.31,nan
2005-02-04,962.03,nan
2005-02-16,972.34,nan
2005-02-17,977.27,nan
2005-02-18,964.77,nan
2005-02-21,981.82,nan
2005-02-22,1007.69,nan
2005-02-23,1019.26,nan
2005-02-24,1024.45,nan
2005-02-25,1024.12,nan
2005-02-28,1020.85,nan
2005-03-01,1021.16,nan
2005-03-02,1006.15,nan
2005-03-03,1011.29,nan
2005-03-04,1003.21,nan
2005-03-07,1006.95,nan
2005-03-08,1029.46,nan
2005-03-09,1032.55,nan
2005-03-10,1005.54,nan
2005-03-11,1009.43,nan
2005-03-14,1007.77,nan
2005-03-15,993.83,nan
2005-03-16,983.92,nan
2005-03-17,970.97,nan
2005-03-18,949.51,nan
2005-03-21,949.55,nan
2005-03-22,922.56,nan
2005-03-23,923.19,nan
2005-03-24,933.35,nan
2005-03-25,931.42,nan
2005-03-28,922.92,nan
2005-03-29,916.81,nan
2005-03-30,888.95,nan
2005-03-31,896.07,nan
2005-04-01,927.55,nan
2005-04-04,909.87,nan
2005-04-05,901.74,nan
2005-04-06,918.56,nan
2005-04-07,932.33,nan
2005-04-08,949.46,nan
2005-04-11,948.51,nan
2005-04-12,927.41,nan
2005-04-13,950.23,nan
2005-04-14,935.42,nan
2005-04-15,913.27,nan
2005-04-18,901.12,nan
2005-04-19,902.79,nan
2005-04-20,884.08,nan
2005-04-21,867.33,nan
2005-04-22,857.4,nan
2005-04-25,841.06,nan
2005-04-26,855.24,nan
2005-04-27,839.95,nan
2005-04-28,860.62,nan
2005-04-29,847.61,nan
2005-05-09,818.4,nan
2005-05-10,818.09,nan
2005-05-11,811.57,nan
2005-05-12,807.51,nan
2005-05-13,814.88,nan
2005-05-16,808.17,nan
2005-05-17,818.46,nan
2005-05-18,824.64,nan
2005-05-19,824.94,nan
2005-05-20,819.13,nan
2005-05-23,793.72,nan
2005-05-24,808.74,nan
2005-05-25,809.7,nan
2005-05-26,799.02,nan
2005-05-27,791.0,nan
2005-05-30,797.53,nan
2005-05-31,796.87,nan
2005-06-01,778.67,nan
2005-06-02,769.42,nan
2005-06-03,765.97,nan
2005-06-06,778.21,nan
2005-06-07,779.84,nan
2005-06-08,841.36,nan
2005-06-09,849.72,nan
2005-06-10,831.6,nan
2005-06-13,834.25,nan
2005-06-14,818.19,nan
2005-06-15,796.26,nan
2005-06-16,803.94,nan
2005-06-17,800.14,nan
2005-06-20,823.73,nan
2005-06-21,816.2,nan
2005-06-22,818.65,nan
2005-06-23,809.35,nan
2005-06-24,813.2,nan
2005-06-27,834.35,nan
2005-06-28,819.05,nan
2005-06-29,814.06,nan
2005-06-30,791.5,nan
2005-07-01,760.35,nan
2005-07-04,749.48,nan
2005-07-05,744.6,nan
2005-07-06,743.44,nan
2005-07-07,747.42,nan
2005-07-08,722.85,nan
2005-07-11,714.47,nan
2005-07-12,739.53,nan
2005-07-13,732.44,nan
2005-07-14,732.54,nan
