日期,收盘价,市盈率
2004-01-01,1000.0,nan
2004-12-31,1000.0,nan
2005-01-04,981.56,nan
2005-01-05,986.54,nan
2005-01-06,975.53,nan
2005-01-07,980.72,nan
2005-01-10,989.53,nan
2005-01-11,990.28,nan
2005-01-12,989.82,nan
2005-01-13,989.73,nan
2005-01-14,984.76,nan
2005-01-17,961.33,nan
2005-01-18,965.39,nan
2005-01-19,959.25,nan
2005-01-20,949.45,nan
2005-01-21,976.92,nan
2005-01-24,992.22,nan
2005-01-25,994.67,nan
2005-01-26,988.22,nan
2005-01-27,976.56,nan
2005-01-28,969.62,nan
2005-01-31,959.1,nan
2005-02-01,962.42,nan
2005-02-02,1012.53,nan
2005-02-03,1004.11,nan
2005-02-04,1027.26,nan
2005-02-16,1034.99,nan
2005-02-17,1028.54,nan
2005-02-18,1013.78,nan
2005-02-21,1032.69,nan
2005-02-22,1054.21,nan
2005-02-23,1054.11,nan
2005-02-24,1053.41,nan
2005-02-25,1053.84,nan
2005-02-28,1047.24,nan
2005-03-01,1040.56,nan
2005-03-02,1023.22,nan
2005-03-03,1031.41,nan
2005-03-04,1027.52,nan
2005-03-07,1033.63,nan
2005-03-08,1054.1,nan
2005-03-09,1054.37,nan
2005-03-10,1027.82,nan
2005-03-11,1031.73,nan
2005-03-14,1038.42,nan
2005-03-15,1018.74,nan
2005-03-16,1008.53,nan
2005-03-17,996.6,nan
2005-03-18,984.56,nan
2005-03-21,990.67,nan
2005-03-22,976.08,nan
2005-03-23,970.32,nan
2005-03-24,976.58,nan
2005-03-25,975.01,nan
2005-03-28,973.51,nan
2005-03-29,968.58,nan
2005-03-30,952.3,nan
2005-03-31,956.04,nan
2005-04-01,990.51,nan
2005-04-04,972.74,nan
2005-04-05,963.35,nan
2005-04-06,978.03,nan
2005-04-07,985.12,nan
2005-04-08,1002.47,nan
2005-04-11,995.76,nan
2005-04-12,981.1,nan
2005-04-13,1003.32,nan
2005-04-14,995.38,nan
2005-04-15,983.89,nan
2005-04-18,971.47,nan
2005-04-19,973.61,nan
2005-04-20,966.07,nan
2005-04-21,958.31,nan
2005-04-22,956.41,nan
2005-04-25,944.96,nan
2005-04-26,947.9,nan
2005-04-27,932.02,nan
2005-04-28,941.7,nan
2005-04-29,932.53,nan
2005-05-09,911.56,nan
2005-05-10,916.11,nan
2005-05-11,905.32,nan
2005-05-12,885.87,nan
2005-05-13,883.51,nan
2005-05-16,873.69,nan
2005-05-17,880.58,nan
2005-05-18,878.8,nan
2005-05-19,878.11,nan
2005-05-20,876.41,nan
2005-05-23,852.18,nan
2005-05-24,852.25,nan
2005-05-25,850.88,nan
2005-05-26,840.5,nan
2005-05-27,833.56,nan
2005-05-30,839.14,nan
2005-05-31,841.31,nan
2005-06-01,824.39,nan
2005-06-02,808.13,nan
2005-06-03,803.47,nan
2005-06-06,819.9,nan
2005-06-07,818.32,nan
2005-06-08,886.63,nan
2005-06-09,891.89,nan
2005-06-10,875.38,nan
2005-06-13,867.3,nan
2005-06-14,862.26,nan
2005-06-15,849.04,nan
2005-06-16,857.33,nan
2005-06-17,863.76,nan
2005-06-20,885.11,nan
2005-06-21,875.99,nan
2005-06-22,875.62,nan
2005-06-23,868.77,nan
2005-06-24,874.57,nan
2005-06-27,888.22,nan
2005-06-28,878.1,nan
2005-06-29,875.3,nan
2005-06-30,855.46,nan
2005-07-01,844.23,nan
2005-07-04,840.77,nan
2005-07-05,831.07,nan
2005-07-06,826.75,nan
2005-07-07,829.51,nan
2005-07-08,815.58,nan
2005-07-11,808.77,nan
2005-07-12,830.48,nan
2005-07-13,825.71,nan
