日期,收盘价,市盈率
2004-01-01,1000.0,nan
2004-12-31,1000.0,nan
2005-01-04,981.56,nan
2005-01-05,986.54,nan
2005-01-06,975.53,nan
2005-01-07,980.72,nan
2005-01-10,989.53,nan
2005-01-11,990.28,nan
2005-01-12,989.82,nan
2005-01-13,989.73,nan
2005-01-14,984.76,nan
2005-01-17,961.33,nan
2005-01-18,965.39,nan
2005-01-19,959.25,nan
2005-01-20,949.45,nan
2005-01-21,976.92,nan
2005-01-24,992.22,nan
2005-01-25,994.67,nan
2005-01-26,988.22,nan
2005-01-27,976.56,nan
2005-01-28,969.62,nan
2005-01-31,959.1,nan
2005-02-01,962.42,nan
2005-02-02,1012.53,nan
2005-02-03,1004.12,nan
2005-02-04,1027.26,nan
2005-02-16,1034.99,nan
2005-02-17,1028.54,nan
2005-02-18,1013.78,nan
2005-02-21,1032.69,nan
2005-02-22,1054.21,nan
2005-02-23,1054.11,nan
2005-02-24,1053.41,nan
2005-02-25,1053.84,nan
2005-02-28,1047.24,nan
2005-03-01,1040.56,nan
2005-03-02,1023.22,nan
2005-03-03,1031.41,nan
2005-03-04,1027.52,nan
2005-03-07,1033.63,nan
2005-03-08,1054.1,nan
2005-03-09,1054.37,nan
2005-03-10,1027.82,nan
2005-03-11,1031.73,nan
2005-03-14,1038.42,nan
2005-03-15,1018.74,nan
2005-03-16,1008.53,nan
2005-03-17,996.6,nan
2005-03-18,984.56,nan
2005-03-21,990.67,nan
2005-03-22,976.08,nan
2005-03-23,970.32,nan
2005-03-24,976.58,nan
2005-03-25,975.01,nan
2005-03-28,973.51,nan
2005-03-29,968.58,nan
2005-03-30,952.3,nan
2005-03-31,956.04,nan
2005-04-01,990.51,nan
2005-04-04,972.74,nan
2005-04-05,963.35,nan
2005-04-06,978.03,nan
2005-04-07,985.73,nan
2005-04-08,1003.5,nan
2005-04-11,996.78,nan
2005-04-12,982.88,nan
2005-04-13,1005.15,nan
2005-04-14,997.19,nan
2005-04-15,985.68,nan
2005-04-18,973.24,nan
2005-04-19,975.81,nan
2005-04-20,968.25,nan
2005-04-21,960.76,nan
2005-04-22,959.0,nan
2005-04-25,947.59,nan
2005-04-26,950.53,nan
2005-04-27,934.61,nan
2005-04-28,944.32,nan
2005-04-29,935.12,nan
2005-05-09,914.1,nan
2005-05-10,918.66,nan
2005-05-11,907.83,nan
2005-05-12,888.63,nan
2005-05-13,886.27,nan
2005-05-16,876.41,nan
2005-05-17,883.32,nan
2005-05-18,882.73,nan
2005-05-19,883.49,nan
2005-05-20,882.38,nan
2005-05-23,859.48,nan
2005-05-24,859.74,nan
2005-05-25,858.41,nan
2005-05-26,848.12,nan
2005-05-27,841.34,nan
2005-05-30,847.18,nan
2005-05-31,849.6,nan
2005-06-01,832.52,nan
2005-06-02,816.1,nan
2005-06-03,811.57,nan
2005-06-06,829.21,nan
2005-06-07,827.61,nan
2005-06-08,896.7,nan
2005-06-09,902.27,nan
2005-06-10,885.56,nan
2005-06-13,885.14,nan
2005-06-14,880.36,nan
2005-06-15,866.87,nan
2005-06-16,877.0,nan
2005-06-17,884.1,nan
2005-06-20,905.96,nan
2005-06-21,897.19,nan
2005-06-22,898.55,nan
2005-06-23,892.38,nan
2005-06-24,898.67,nan
2005-06-27,912.8,nan
2005-06-28,902.41,nan
2005-06-29,899.53,nan
2005-06-30,879.13,nan
2005-07-01,867.59,nan
2005-07-04,864.04,nan
2005-07-05,855.03,nan
2005-07-06,850.59,nan
2005-07-07,854.59,nan
2005-07-08,840.24,nan
2005-07-11,833.72,nan
2005-07-12,856.22,nan
2005-07-13,851.3,nan
