日期,收盘价,到期收益率
2002-01-04,99.7955,nan
2002-01-07,99.7969,nan
2002-01-08,100.3122,nan
2002-01-09,100.5216,nan
2002-01-10,100.5556,nan
2002-01-11,100.6649,nan
2002-01-14,100.9438,nan
2002-01-15,100.7566,nan
2002-01-16,100.7864,nan
2002-01-17,100.9642,nan
2002-01-18,100.3295,nan
2002-01-21,100.4047,nan
2002-01-22,100.4155,nan
2002-01-23,100.3084,nan
2002-01-24,100.4214,nan
2002-01-25,100.3353,nan
2002-01-28,100.3858,nan
2002-01-29,100.7023,nan
2002-01-30,100.4864,nan
2002-01-31,100.426,nan
2002-02-01,100.584,nan
2002-02-04,100.5796,nan
2002-02-05,100.6778,nan
2002-02-06,100.6379,nan
2002-02-07,100.6845,nan
2002-02-08,100.6793,nan
2002-02-09,100.6748,nan
2002-02-10,100.5851,nan
2002-02-11,100.5042,nan
2002-02-19,100.6535,nan
2002-02-20,101.1639,nan
2002-02-21,100.8436,nan
2002-02-22,100.8292,nan
2002-02-25,100.9809,nan
2002-02-26,101.0038,nan
2002-02-27,101.0042,nan
2002-02-28,101.0051,nan
2002-03-01,101.1557,nan
2002-03-04,101.1418,nan
2002-03-05,101.1356,nan
2002-03-06,101.1401,nan
2002-03-07,101.1693,nan
2002-03-08,101.1637,nan
2002-03-11,101.3054,nan
2002-03-12,101.3496,nan
2002-03-13,101.2174,nan
2002-03-14,101.2189,nan
2002-03-15,101.2721,nan
2002-03-18,101.2554,nan
2002-03-19,101.3115,nan
2002-03-20,101.1969,nan
2002-03-21,101.4479,nan
2002-03-22,101.4617,nan
2002-03-25,101.6639,nan
2002-03-26,101.3549,nan
2002-03-27,101.6539,nan
2002-03-28,101.6091,nan
2002-03-29,101.6179,nan
2002-04-01,101.6009,nan
2002-04-02,101.9203,nan
2002-04-03,101.7821,nan
2002-04-04,101.8974,nan
2002-04-05,101.7159,nan
2002-04-08,102.0226,nan
2002-04-09,102.7979,nan
2002-04-10,101.7716,nan
2002-04-11,101.8045,nan
2002-04-12,101.8309,nan
2002-04-15,101.8915,nan
2002-04-16,101.9359,nan
2002-04-17,101.9551,nan
2002-04-18,102.0511,nan
2002-04-19,101.858,nan
2002-04-22,102.0553,nan
2002-04-23,101.955,nan
2002-04-24,101.9378,nan
2002-04-25,101.9718,nan
2002-04-26,101.9775,nan
2002-04-27,102.0337,nan
2002-04-28,102.0295,nan
2002-04-29,102.2399,nan
2002-04-30,102.0509,nan
2002-05-08,102.1138,nan
2002-05-09,102.1601,nan
2002-05-10,102.2815,nan
2002-05-13,102.0913,nan
2002-05-14,102.1813,nan
2002-05-15,102.0766,nan
2002-05-16,102.1146,nan
2002-05-17,102.1117,nan
2002-05-20,102.3939,nan
2002-05-21,102.3908,nan
2002-05-22,102.3947,nan
2002-05-23,102.2103,nan
2002-05-24,102.2135,nan
2002-05-27,102.4198,nan
2002-05-28,102.4821,nan
2002-05-29,102.37,nan
2002-05-30,102.4091,nan
2002-05-31,102.3782,nan
2002-06-03,102.398,nan
2002-06-04,102.548,nan
2002-06-05,102.4897,nan
2002-06-06,102.3968,nan
2002-06-07,102.396,nan
2002-06-10,102.426,nan
2002-06-11,102.4584,nan
2002-06-12,102.4619,nan
2002-06-13,102.4767,nan
2002-06-14,102.4923,nan
2002-06-17,102.5211,nan
2002-06-18,102.4809,nan
2002-06-19,102.5446,nan
2002-06-20,102.5231,nan
2002-06-21,102.5277,nan
2002-06-24,102.519,nan
2002-06-25,102.701,nan
2002-06-26,102.5723,nan
2002-06-27,102.5347,nan
2002-06-28,102.4962,nan
2002-07-01,102.5257,nan
2002-07-02,102.4991,nan
2002-07-03,102.5637,nan
2002-07-04,102.5744,nan
2002-07-05,102.6166,nan
2002-07-08,102.3198,nan
2002-07-09,102.5998,nan
2002-07-10,102.6803,nan
2002-07-11,102.7022,nan
2002-07-12,102.5237,nan
2002-07-15,102.8512,nan
2002-07-16,102.6921,nan
2002-07-17,102.6043,nan
2002-07-18,102.5296,nan
2002-07-19,102.5313,nan
2002-07-22,102.5812,nan
2002-07-23,102.7013,nan
2002-07-24,102.7014,nan
2002-07-25,102.6175,nan
2002-07-26,102.5431,nan
