日期,收盘价,市盈率
2004-01-01,1204.61,nan
2004-01-02,1204.61,nan
2004-01-05,1240.47,nan
2004-01-06,1251.14,nan
2004-01-07,1266.27,nan
2004-01-08,1284.34,nan
2004-01-09,1266.41,nan
2004-01-12,1294.68,nan
2004-01-13,1293.18,nan
2004-01-14,1277.96,nan
2004-01-15,1273.62,nan
2004-01-16,1284.3,nan
2004-01-29,1311.95,nan
2004-01-30,1281.33,nan
2004-02-02,1307.27,nan
2004-02-03,1321.0,nan
2004-02-04,1348.86,nan
2004-02-05,1353.85,nan
2004-02-06,1347.22,nan
2004-02-09,1368.84,nan
2004-02-10,1363.06,nan
2004-02-11,1354.75,nan
2004-02-12,1345.66,nan
2004-02-13,1342.34,nan
2004-02-16,1373.3,nan
2004-02-17,1380.37,nan
2004-02-18,1391.36,nan
2004-02-19,1385.98,nan
2004-02-20,1391.1,nan
2004-02-23,1359.24,nan
2004-02-24,1356.31,nan
2004-02-25,1329.44,nan
2004-02-26,1335.86,nan
2004-02-27,1351.61,nan
2004-03-01,1366.91,nan
2004-03-02,1363.19,nan
2004-03-03,1341.22,nan
2004-03-04,1349.85,nan
2004-03-05,1341.76,nan
2004-03-08,1317.3,nan
2004-03-09,1314.17,nan
2004-03-10,1344.99,nan
2004-03-11,1357.84,nan
2004-03-12,1358.51,nan
2004-03-15,1389.68,nan
2004-03-16,1395.37,nan
2004-03-17,1398.02,nan
2004-03-18,1372.16,nan
2004-03-19,1393.57,nan
2004-03-22,1399.55,nan
2004-03-23,1389.52,nan
2004-03-24,1385.37,nan
2004-03-25,1385.86,nan
2004-03-26,1386.48,nan
2004-03-29,1371.7,nan
2004-03-30,1372.05,nan
2004-03-31,1384.95,nan
2004-04-01,1396.63,nan
2004-04-02,1405.92,nan
2004-04-05,1401.97,nan
2004-04-06,1410.43,nan
2004-04-07,1408.77,nan
2004-04-08,1402.77,nan
2004-04-09,1370.28,nan
2004-04-12,1364.68,nan
2004-04-13,1353.83,nan
2004-04-14,1332.08,nan
2004-04-15,1318.85,nan
2004-04-16,1331.08,nan
2004-04-19,1312.0,nan
2004-04-20,1301.09,nan
2004-04-21,1289.65,nan
2004-04-22,1296.44,nan
2004-04-23,1276.31,nan
2004-04-26,1276.95,nan
2004-04-27,1264.34,nan
2004-04-28,1258.11,nan
2004-04-29,1233.6,nan
2004-04-30,1239.72,nan
2004-05-10,1206.59,nan
2004-05-11,1212.58,nan
2004-05-12,1240.02,nan
2004-05-13,1234.58,nan
2004-05-14,1207.26,nan
2004-05-17,1195.19,nan
2004-05-18,1209.61,nan
2004-05-19,1209.58,nan
2004-05-20,1201.71,nan
2004-05-21,1209.21,nan
2004-05-24,1200.79,nan
2004-05-25,1177.71,nan
2004-05-26,1183.01,nan
2004-05-27,1208.68,nan
2004-05-28,1201.72,nan
2004-05-31,1206.84,nan
2004-06-01,1224.11,nan
2004-06-02,1211.93,nan
2004-06-03,1193.55,nan
2004-06-04,1192.78,nan
2004-06-07,1176.26,nan
2004-06-08,1160.33,nan
2004-06-09,1137.55,nan
2004-06-10,1139.51,nan
2004-06-11,1140.53,nan
2004-06-14,1115.41,nan
2004-06-15,1134.9,nan
2004-06-16,1141.09,nan
2004-06-17,1116.5,nan
2004-06-18,1103.4,nan
2004-06-21,1109.39,nan
2004-06-22,1119.88,nan
2004-06-23,1110.32,nan
2004-06-24,1099.9,nan
2004-06-25,1081.96,nan
2004-06-28,1069.51,nan
2004-06-29,1084.62,nan
2004-06-30,1078.49,nan
2004-07-01,1112.39,nan
2004-07-02,1114.95,nan
2004-07-05,1116.42,nan
2004-07-06,1121.28,nan
2004-07-07,1110.62,nan
2004-07-08,1113.03,nan
2004-07-09,1106.92,nan
2004-07-12,1083.18,nan
2004-07-13,1086.82,nan
2004-07-14,1088.78,nan
2004-07-15,1104.01,nan
2004-07-16,1132.8,nan
2004-07-19,1134.5,nan
2004-07-20,1125.88,nan
