日期,收盘价
2020-01-02,1019.723
2020-01-03,1024.482
2020-01-06,1027.277
2020-01-07,1043.083
2020-01-08,1051.16
2020-01-09,1078.312
2020-01-10,1076.438
2020-01-13,1105.848
2020-01-14,1118.306
2020-01-15,1114.766
2020-01-16,1154.303
2020-01-17,1238.664
2020-01-20,1240.509
2020-01-21,1195.014
2020-01-22,1244.525
2020-01-23,1202.102
2020-02-03,1030.55
2020-02-04,1153.232
2020-02-05,1203.613
2020-02-06,1238.757
2020-02-07,1307.757
2020-02-10,1322.25
2020-02-11,1283.572
2020-02-12,1348.702
2020-02-13,1360.709
2020-02-14,1327.224
2020-02-17,1381.553
2020-02-18,1399.384
2020-02-19,1373.444
2020-02-20,1348.338
2020-02-21,1346.863
2020-02-24,1351.71
2020-02-25,1367.368
2020-02-26,1288.242
2020-02-27,1264.941
2020-02-28,1191.055
2020-03-02,1252.624
2020-03-03,1285.034
2020-03-04,1255.723
2020-03-05,1264.788
2020-03-06,1243.373
2020-03-09,1171.859
2020-03-10,1216.328
2020-03-11,1184.71
2020-03-12,1167.065
2020-03-13,1175.282
2020-03-16,1115.084
2020-03-17,1131.547
2020-03-18,1115.019
2020-03-19,1128.973
2020-03-20,1127.369
2020-03-23,1039.884
2020-03-24,1060.843
2020-03-25,1101.319
2020-03-26,1095.338
2020-03-27,1084.505
2020-03-30,1035.827
2020-03-31,1029.749
2020-04-01,1037.927
2020-04-02,1094.826
2020-04-03,1080.53
2020-04-07,1111.654
2020-04-08,1104.145
2020-04-09,1101.281
2020-04-10,1058.44
2020-04-13,1042.145
2020-04-14,1073.217
2020-04-15,1088.203
2020-04-16,1091.933
2020-04-17,1117.07
2020-04-20,1133.361
2020-04-21,1119.229
2020-04-22,1135.849
2020-04-23,1149.716
2020-04-24,1144.153
2020-04-27,1138.1
2020-04-28,1113.513
2020-04-29,1102.698
2020-04-30,1166.348
2020-05-06,1247.513
2020-05-07,1224.105
2020-05-08,1240.246
2020-05-11,1226.061
2020-05-12,1233.592
2020-05-13,1247.034
2020-05-14,1242.169
2020-05-15,1270.481
2020-05-18,1254.299
2020-05-19,1324.418
2020-05-20,1306.998
2020-05-21,1251.931
2020-05-22,1230.659
2020-05-25,1212.087
2020-05-26,1272.661
2020-05-27,1253.272
2020-05-28,1232.22
2020-05-29,1246.111
2020-06-01,1300.741
2020-06-02,1305.637
2020-06-03,1294.28
2020-06-04,1299.803
2020-06-05,1297.306
2020-06-08,1280.053
2020-06-09,1278.507
2020-06-10,1269.978
2020-06-11,1273.59
2020-06-12,1262.29
2020-06-15,1249.909
2020-06-16,1289.135
2020-06-17,1291.117
2020-06-18,1302.371
2020-06-19,1325.147
2020-06-22,1371.207
2020-06-23,1407.193
2020-06-24,1424.277
2020-06-29,1401.644
2020-06-30,1447.886
2020-07-01,1439.878
2020-07-02,1437.052
2020-07-03,1438.585
2020-07-06,1538.402
2020-07-07,1572.189
2020-07-08,1599.905
2020-07-09,1666.85
2020-07-10,1654.827
2020-07-13,1721.976
2020-07-14,1701.583
2020-07-15,1612.035
2020-07-16,1469.798
2020-07-17,1443.397
2020-07-20,1459.034
2020-07-21,1490.171
2020-07-22,1497.231
2020-07-23,1494.139
2020-07-24,1389.305
2020-07-27,1374.519
2020-07-28,1400.535
2020-07-29,1476.925
2020-07-30,1472.792
2020-07-31,1512.977
2020-08-03,1622.813
2020-08-04,1566.055
2020-08-05,1588.622
2020-08-06,1573.869
2020-08-07,1526.804
2020-08-10,1535.597
2020-08-11,1491.841
2020-08-12,1458.643
2020-08-13,1468.229
2020-08-14,1484.041
2020-08-17,1496.4
2020-08-18,1512.509
2020-08-19,1472.021
2020-08-20,1442.579
2020-08-21,1447.714
2020-08-24,1450.667
2020-08-25,1427.705
2020-08-26,1383.305
2020-08-27,1417.559
2020-08-28,1413.637
2020-08-31,1423.236
2020-09-01,1426.651
2020-09-02,1422.953
2020-09-03,1402.144
2020-09-04,1390.284
2020-09-07,1356.699
2020-09-08,1344.613
2020-09-09,1298.079
2020-09-10,1280.189
2020-09-11,1312.512
2020-09-14,1348.07
2020-09-15,1364.603
2020-09-16,1349.672
2020-09-17,1383.59
2020-09-18,1403.899
2020-09-21,1397.746
2020-09-22,1390.086
2020-09-23,1423.904
2020-09-24,1394.926
2020-09-25,1364.025
2020-09-28,1338.952
2020-09-29,1389.963
2020-09-30,1418.796
2020-10-09,1465.959
2020-10-12,1490.575
2020-10-13,1497.596
2020-10-14,1488.67
2020-10-15,1453.789
2020-10-16,1438.528
2020-10-19,1412.148
2020-10-20,1426.181
2020-10-21,1396.977
2020-10-22,1376.581
2020-10-23,1336.527
2020-10-26,1356.107
2020-10-27,1385.745
2020-10-28,1406.075
2020-10-29,1412.055
2020-10-30,1393.91
2020-11-02,1400.912
2020-11-03,1449.007
2020-11-04,1458.896
2020-11-05,1475.375
2020-11-06,1441.474
2020-11-09,1485.148
2020-11-10,1441.965
2020-11-11,1395.51
2020-11-12,1413.294
2020-11-13,1436.887
2020-11-16,1446.951
2020-11-17,1430.809
2020-11-18,1419.226
2020-11-19,1435.925
2020-11-20,1430.72
2020-11-23,1418.102
2020-11-24,1412.747
2020-11-25,1388.364
2020-11-26,1385.31
2020-11-27,1387.769
2020-11-30,1385.483
2020-12-01,1404.238
2020-12-02,1408.488
2020-12-03,1410.829
2020-12-04,1404.866
2020-12-07,1406.194
2020-12-08,1398.73
2020-12-09,1365.038
2020-12-10,1360.184
2020-12-11,1362.961
2020-12-14,1375.064
2020-12-15,1363.183
2020-12-16,1345.133
2020-12-17,1363.36
2020-12-18,1361.108
2020-12-21,1388.669
2020-12-22,1358.619
2020-12-23,1376.595
2020-12-24,1348.013
2020-12-25,1349.793
2020-12-28,1339.007
2020-12-29,1337.47
2020-12-30,1362.911
2020-12-31,1393.027
2021-01-04,1422.125
2021-01-05,1425.16
2021-01-06,1415.022
2021-01-07,1381.942
2021-01-08,1378.74
2021-01-11,1390.655
2021-01-12,1405.223
2021-01-13,1407.415
2021-01-14,1447.267
2021-01-15,1447.583
2021-01-18,1481.249
2021-01-19,1443.921
2021-01-20,1481.453
2021-01-21,1482.285
2021-01-22,1486.308
2021-01-25,1498.595
2021-01-26,1478.451
2021-01-27,1458.372
2021-01-28,1421.587
2021-01-29,1421.962
2021-02-01,1421.481
2021-02-02,1438.059
2021-02-03,1410.147
2021-02-04,1394.097
2021-02-05,1368.8
2021-02-08,1382.482
2021-02-09,1427.682
2021-02-10,1437.025
2021-02-18,1429.74
2021-02-19,1427.907
2021-02-22,1389.916
2021-02-23,1390.527
2021-02-24,1365.637
2021-02-25,1349.711
2021-02-26,1325.587
2021-03-01,1358.141
2021-03-02,1352.044
2021-03-03,1359.398
2021-03-04,1324.158
2021-03-05,1329.839
2021-03-08,1275.456
2021-03-09,1230.137
2021-03-10,1232.735
2021-03-11,1267.301
2021-03-12,1261.325
2021-03-15,1223.39
2021-03-16,1220.367
2021-03-17,1236.541
2021-03-18,1241.31
2021-03-19,1231.292
2021-03-22,1242.756
2021-03-23,1236.474
2021-03-24,1221.447
2021-03-25,1219.71
2021-03-26,1256.664
2021-03-29,1250.77
2021-03-30,1248.342
2021-03-31,1248.332
2021-04-01,1266.745
2021-04-02,1299.92
2021-04-06,1296.62
2021-04-07,1298.785
2021-04-08,1291.857
2021-04-09,1271.443
2021-04-12,1243.496
2021-04-13,1241.398
2021-04-14,1254.71
2021-04-15,1264.158
2021-04-16,1274.702
2021-04-19,1299.007
2021-04-20,1290.503
2021-04-21,1286.855
2021-04-22,1305.181
2021-04-23,1311.827
2021-04-26,1314.907
2021-04-27,1311.913
2021-04-28,1324.236
2021-04-29,1324.055
2021-04-30,1322.24
2021-05-06,1310.125
2021-05-07,1263.897
2021-05-10,1254.486
2021-05-11,1258.107
2021-05-12,1270.908
2021-05-13,1275.477
2021-05-14,1300.535
2021-05-17,1328.917
2021-05-18,1321.641
2021-05-19,1326.143
2021-05-20,1329.791
2021-05-21,1315.207
2021-05-24,1330.872
2021-05-25,1370.121
2021-05-26,1364.037
2021-05-27,1397.769
