日期,收盘价
2008-01-09,223.3
2008-01-10,215.12
2008-01-11,218.1
2008-01-14,220.1
2008-01-15,223.8
2008-01-16,215.89
2008-01-17,216.47
2008-01-18,214.7
2008-01-21,214.2
2008-01-22,206.41
2008-01-23,212.51
2008-01-24,216.7
2008-01-25,219.8
2008-01-28,220.33
2008-01-29,222.56
2008-01-31,219.35
2008-02-01,218.75
2008-02-04,215.6
2008-02-05,215.26
2008-02-13,213.69
2008-02-14,216.1
2008-02-15,216.25
2008-02-18,215.48
2008-02-19,218.38
2008-02-20,219.81
2008-02-21,223.58
2008-02-22,222.45
2008-02-25,225.78
2008-02-26,219.43
2008-02-27,224.68
2008-02-28,223.5
2008-02-29,225.43
2008-03-03,228.45
2008-03-04,227.2
2008-03-05,224.75
2008-03-06,227.95
2008-03-07,227.58
2008-03-10,225.2
2008-03-11,224.6
2008-03-12,224.26
2008-03-13,226.48
2008-03-14,227.87
2008-03-17,232.36
2008-03-18,227.58
2008-03-19,226.2
2008-03-20,214.55
2008-03-21,210.11
2008-03-24,206.81
2008-03-25,210.19
2008-03-26,211.8
2008-03-27,213.3
2008-03-28,211.76
2008-03-31,208.98
2008-04-01,203.22
2008-04-02,199.13
2008-04-03,202.35
2008-04-04,202.35
2008-04-07,205.36
2008-04-08,204.81
2008-04-09,203.35
2008-04-10,207.5
2008-04-11,204.56
2008-04-14,205.4
2008-04-15,208.62
2008-04-16,207.03
2008-04-17,210.66
2008-04-18,210.15
2008-04-21,204.5
2008-04-22,203.77
2008-04-23,203.4
2008-04-24,202.6
2008-04-25,198.22
2008-04-28,199.94
2008-04-29,198.62
2008-04-30,195.98
2008-05-01,195.98
2008-05-02,195.98
2008-05-05,194.63
2008-05-06,196.03
2008-05-07,194.96
2008-05-08,194.15
2008-05-09,197.48
2008-05-12,197.38
2008-05-13,196.6
2008-05-14,194.63
2008-05-15,195.3
2008-05-16,197.86
2008-05-19,203.48
2008-05-20,203.33
2008-05-21,204.68
2008-05-22,208.02
2008-05-23,204.7
2008-05-26,207.13
2008-05-27,206.8
2008-05-28,203.38
2008-05-29,200.33
2008-05-30,195.07
2008-06-02,196.35
2008-06-03,199.84
2008-06-04,196.15
2008-06-05,196.55
2008-06-06,197.28
2008-06-09,197.28
2008-06-10,198.4
2008-06-11,195.6
2008-06-12,194.13
2008-06-13,194.69
2008-06-16,193.85
2008-06-17,197.61
2008-06-18,196.86
