日期,收盘价
2004-01-01,1011.35
2004-01-02,1011.35
2004-01-05,1060.8
2004-01-06,1075.66
2004-01-07,1086.3
2004-01-08,1102.66
2004-01-09,1081.79
2004-01-12,1116.8
2004-01-13,1102.44
2004-01-14,1079.82
2004-01-15,1074.07
2004-01-16,1083.75
2004-01-29,1100.7
2004-01-30,1067.65
2004-02-02,1091.83
2004-02-03,1103.05
2004-02-04,1128.55
2004-02-05,1128.0
2004-02-06,1122.19
2004-02-09,1134.71
2004-02-10,1121.06
2004-02-11,1110.16
2004-02-12,1094.21
2004-02-13,1096.46
2004-02-16,1123.85
2004-02-17,1123.72
2004-02-18,1129.38
2004-02-19,1122.48
2004-02-20,1124.76
2004-02-23,1093.24
2004-02-24,1093.2
2004-02-25,1070.46
2004-02-26,1080.0
2004-02-27,1088.82
2004-03-01,1094.34
2004-03-02,1093.49
2004-03-03,1072.74
2004-03-04,1078.45
2004-03-05,1071.68
2004-03-08,1057.2
2004-03-09,1061.26
2004-03-10,1091.2
2004-03-11,1095.66
2004-03-12,1099.18
2004-03-15,1131.78
2004-03-16,1135.67
2004-03-17,1135.27
2004-03-18,1111.95
2004-03-19,1129.88
2004-03-22,1134.89
2004-03-23,1121.43
2004-03-24,1115.61
2004-03-25,1115.34
2004-03-26,1112.88
2004-03-29,1101.76
2004-03-30,1101.37
2004-03-31,1108.64
2004-04-01,1123.54
2004-04-02,1127.91
2004-04-05,1118.37
2004-04-06,1123.96
2004-04-07,1117.54
2004-04-08,1112.94
2004-04-09,1088.26
2004-04-12,1080.18
2004-04-13,1073.13
2004-04-14,1066.08
2004-04-15,1056.28
2004-04-16,1071.63
2004-04-19,1055.13
2004-04-20,1052.64
2004-04-21,1043.92
2004-04-22,1051.15
2004-04-23,1034.79
2004-04-26,1039.39
2004-04-27,1031.6
2004-04-28,1030.19
2004-04-29,1016.89
2004-04-30,1026.34
2004-05-10,996.54
2004-05-11,1004.27
2004-05-12,1025.4
2004-05-13,1021.38
2004-05-14,998.32
2004-05-17,982.1
2004-05-18,989.57
