日期,收盘价
2004-01-01,1000.0
2004-12-31,1000.0
2005-01-04,989.98
2005-01-05,1013.58
2005-01-06,1005.47
2005-01-07,1011.74
2005-01-10,1023.64
2005-01-11,1027.16
2005-01-12,1024.92
2005-01-13,1029.3
2005-01-14,1011.88
2005-01-17,986.66
2005-01-18,1008.11
2005-01-19,1002.46
2005-01-20,989.44
2005-01-21,1006.25
2005-01-24,1028.01
2005-01-25,1015.1
2005-01-26,1006.84
2005-01-27,989.41
2005-01-28,963.01
2005-01-31,924.17
2005-02-01,905.8
2005-02-02,958.39
2005-02-03,936.86
2005-02-04,952.39
2005-02-16,966.39
2005-02-17,973.81
2005-02-18,964.01
2005-02-21,983.61
2005-02-22,1015.66
2005-02-23,1032.9
2005-02-24,1035.35
2005-02-25,1032.41
2005-02-28,1029.38
2005-03-01,1030.82
2005-03-02,1014.53
2005-03-03,1020.25
2005-03-04,1011.36
2005-03-07,1013.59
2005-03-08,1037.03
2005-03-09,1042.18
2005-03-10,1011.79
2005-03-11,1017.45
2005-03-14,1005.99
2005-03-15,993.48
2005-03-16,982.84
2005-03-17,967.59
2005-03-18,946.71
2005-03-21,950.79
2005-03-22,915.94
2005-03-23,915.97
2005-03-24,928.54
2005-03-25,923.2
2005-03-28,911.36
2005-03-29,904.82
2005-03-30,869.58
2005-03-31,880.9
2005-04-01,913.85
2005-04-04,896.63
2005-04-05,886.54
2005-04-06,899.22
2005-04-07,914.01
2005-04-08,931.74
2005-04-11,932.33
2005-04-12,906.22
2005-04-13,929.63
2005-04-14,916.87
2005-04-15,888.43
2005-04-18,868.89
2005-04-19,867.79
2005-04-20,845.48
2005-04-21,826.59
2005-04-22,807.17
2005-04-25,790.05
2005-04-26,807.47
2005-04-27,790.76
2005-04-28,814.34
2005-04-29,802.98
2005-05-09,771.76
2005-05-10,773.88
2005-05-11,772.76
2005-05-12,769.69
2005-05-13,780.18
2005-05-16,777.3
2005-05-17,786.21
2005-05-18,795.35
2005-05-19,795.4
2005-05-20,788.81
2005-05-23,759.73
2005-05-24,778.9
2005-05-25,783.13
2005-05-26,774.16
2005-05-27,768.71
2005-05-30,777.92
2005-05-31,777.96
2005-06-01,762.68
2005-06-02,758.99
2005-06-03,759.23
2005-06-06,769.18
2005-06-07,770.37
2005-06-08,828.92
2005-06-09,839.7
2005-06-10,823.58
2005-06-13,829.56
2005-06-14,810.96
2005-06-15,791.81
2005-06-16,801.15
2005-06-17,794.32
2005-06-20,817.0
2005-06-21,809.91
2005-06-22,814.31
2005-06-23,800.36
2005-06-24,804.02
2005-06-27,827.43
2005-06-28,812.11
2005-06-29,809.7
2005-06-30,786.39
2005-07-01,747.45
2005-07-04,739.35
2005-07-05,733.72
2005-07-06,731.47
2005-07-07,736.62
2005-07-08,711.19
2005-07-11,699.3
2005-07-12,725.7
2005-07-13,717.03
2005-07-14,716.73
2005-07-15,695.49
2005-07-18,674.22
2005-07-19,682.31
2005-07-20,687.56
2005-07-21,684.43
2005-07-22,700.13
2005-07-25,698.21
2005-07-26,715.06
2005-07-27,730.13
2005-07-28,732.02
2005-07-29,729.07
2005-08-01,736.16
2005-08-02,750.38
2005-08-03,758.34
2005-08-04,754.06
2005-08-05,778.86
2005-08-08,790.54
2005-08-09,806.36
2005-08-10,816.49
2005-08-11,824.79
2005-08-12,810.49
2005-08-15,837.63
2005-08-16,840.8
2005-08-17,865.18
2005-08-18,833.67
2005-08-19,834.72
2005-08-22,843.85
2005-08-23,826.36
2005-08-24,838.29
2005-08-25,851.29
2005-08-26,855.46
2005-08-29,849.54
2005-08-30,839.83
2005-08-31,858.2
2005-09-01,878.35
2005-09-02,888.59
2005-09-05,898.97
2005-09-06,872.51
2005-09-07,901.42
2005-09-08,905.25
2005-09-09,895.79
2005-09-12,902.0
2005-09-13,923.53
2005-09-14,935.95
2005-09-15,938.11
2005-09-16,938.57
2005-09-19,956.22
2005-09-20,955.59
2005-09-21,942.0
2005-09-22,899.9
2005-09-23,882.34
2005-09-26,892.04
2005-09-27,867.18
2005-09-28,864.98
2005-09-29,884.26
2005-09-30,878.6
2005-10-10,866.61
2005-10-11,887.6
2005-10-12,897.4
2005-10-13,893.85
2005-10-14,883.95
2005-10-17,886.98
2005-10-18,905.33
2005-10-19,899.17
2005-10-20,898.88
2005-10-21,905.51
2005-10-24,905.23
2005-10-25,884.33
2005-10-26,860.67
2005-10-27,844.68
2005-10-28,813.63
2005-10-31,819.58
2005-11-01,811.41
2005-11-02,833.76
2005-11-03,826.14
2005-11-04,834.02
2005-11-07,845.02
2005-11-08,853.99
2005-11-09,850.17
2005-11-10,823.17
2005-11-11,829.89
2005-11-14,834.74
2005-11-15,828.27
2005-11-16,834.85
2005-11-17,835.92
2005-11-18,856.22
2005-11-21,862.94
2005-11-22,840.9
2005-11-23,848.69
2005-11-24,852.89
2005-11-25,854.78
2005-11-28,853.86
2005-11-29,842.64
2005-11-30,846.6
2005-12-01,842.72
2005-12-02,828.92
2005-12-05,801.29
2005-12-06,803.98
2005-12-07,812.6
2005-12-08,809.58
2005-12-09,824.12
2005-12-12,830.55
2005-12-13,829.75
2005-12-14,839.09
2005-12-15,831.84
2005-12-16,839.26
2005-12-19,841.34
2005-12-20,842.33
2005-12-21,830.59
2005-12-22,834.16
2005-12-23,842.04
2005-12-26,848.59
2005-12-27,849.31
2005-12-28,851.48
2005-12-29,859.86
2005-12-30,850.13
2006-01-04,860.01
2006-01-05,873.29
2006-01-06,880.48
2006-01-09,894.44
2006-01-10,896.95
2006-01-11,888.64
2006-01-12,907.7
2006-01-13,912.55
2006-01-16,900.63
2006-01-17,899.36
2006-01-18,916.83
2006-01-19,922.33
2006-01-20,916.63
2006-01-23,917.71
2006-01-24,911.77
2006-01-25,895.51
2006-02-06,917.45
2006-02-07,923.28
2006-02-08,932.82
2006-02-09,922.42
2006-02-10,933.2
2006-02-13,934.6
2006-02-14,942.28
2006-02-15,943.98
2006-02-16,922.01
2006-02-17,915.67
2006-02-20,907.48
2006-02-21,926.4
2006-02-22,927.63
2006-02-23,928.95
2006-02-24,934.75
2006-02-27,934.6
2006-02-28,937.53
2006-03-01,944.92
2006-03-02,926.0
2006-03-03,926.06
2006-03-06,923.69
2006-03-07,896.8
2006-03-08,897.78
2006-03-09,891.78
2006-03-10,893.18
2006-03-13,900.51
2006-03-14,903.65
2006-03-15,910.66
2006-03-16,911.86
2006-03-17,907.28
2006-03-20,916.33
2006-03-21,919.13
2006-03-22,928.38
2006-03-23,939.35
2006-03-24,929.39
2006-03-27,939.2
2006-03-28,941.49
2006-03-29,939.21
2006-03-30,932.06
2006-03-31,931.29
2006-04-03,944.56
2006-04-04,955.56
2006-04-05,963.37
2006-04-06,960.68
2006-04-07,969.87
2006-04-10,988.87
2006-04-11,990.76
2006-04-12,995.0
2006-04-13,968.75
2006-04-14,985.66
2006-04-17,996.86
2006-04-18,995.01
2006-04-19,991.61
2006-04-20,979.32
2006-04-21,981.07
2006-04-24,959.27
2006-04-25,953.9
2006-04-26,964.68
2006-04-27,966.08
2006-04-28,973.85
2006-05-08,1002.0
2006-05-09,1031.89
2006-05-10,1047.13
2006-05-11,1042.64
2006-05-12,1075.62
2006-05-15,1118.73
2006-05-16,1090.32
2006-05-17,1111.45
2006-05-18,1131.42
2006-05-19,1163.87
2006-05-22,1194.56
2006-05-23,1149.27
2006-05-24,1129.71
2006-05-25,1151.13
2006-05-26,1181.34
2006-05-29,1210.4
2006-05-30,1230.67
2006-05-31,1236.23
2006-06-01,1290.99
2006-06-02,1300.67
2006-06-05,1336.65
2006-06-06,1335.85
2006-06-07,1257.46
2006-06-08,1254.86
2006-06-09,1226.43
2006-06-12,1224.12
2006-06-13,1232.61
2006-06-14,1230.74
2006-06-15,1240.55
2006-06-16,1267.87
2006-06-19,1282.05
2006-06-20,1298.6
2006-06-21,1291.76
2006-06-22,1294.3
2006-06-23,1311.36
2006-06-26,1333.74
2006-06-27,1339.67
2006-06-28,1340.91
2006-06-29,1363.96
2006-06-30,1351.45
2006-07-03,1371.3
2006-07-04,1363.08
2006-07-05,1360.21
2006-07-06,1397.65
2006-07-07,1399.08
2006-07-10,1420.77
2006-07-11,1433.21
2006-07-12,1431.82
2006-07-13,1329.3
2006-07-14,1340.67
2006-07-17,1366.51
2006-07-18,1377.77
2006-07-19,1352.73
2006-07-20,1366.21
2006-07-21,1368.02
2006-07-24,1366.13
2006-07-25,1385.49
2006-07-26,1398.93
2006-07-27,1390.79
2006-07-28,1382.14
2006-07-31,1324.67
2006-08-01,1301.1
2006-08-02,1288.3
2006-08-03,1284.42
2006-08-04,1235.47
2006-08-07,1199.25
2006-08-08,1241.24
2006-08-09,1248.52
2006-08-10,1268.6
2006-08-11,1275.89
2006-08-14,1233.32
2006-08-15,1258.0
2006-08-16,1276.95
2006-08-17,1270.13
2006-08-18,1261.0
2006-08-21,1272.86
2006-08-22,1286.04
2006-08-23,1283.15
2006-08-24,1301.44
2006-08-25,1301.62
2006-08-28,1331.62
2006-08-29,1331.04
2006-08-30,1344.74
2006-08-31,1351.93
2006-09-01,1326.0
2006-09-04,1358.89
2006-09-05,1360.61
2006-09-06,1371.32
2006-09-07,1349.77
2006-09-08,1353.35
2006-09-11,1364.76
2006-09-12,1371.88
2006-09-13,1354.72
2006-09-14,1357.21
2006-09-15,1370.35
2006-09-18,1391.54
2006-09-19,1394.66
2006-09-20,1401.45
2006-09-21,1406.45
2006-09-22,1392.99
2006-09-25,1397.24
2006-09-26,1397.87
2006-09-27,1407.34
2006-09-28,1415.66
2006-09-29,1428.01
2006-10-09,1450.54
2006-10-10,1456.67
2006-10-11,1463.78
2006-10-12,1450.92
2006-10-13,1458.88
2006-10-16,1457.28
2006-10-17,1455.63
2006-10-18,1470.08
2006-10-19,1473.91
2006-10-20,1461.45
2006-10-23,1421.74
2006-10-24,1455.23
2006-10-25,1443.11
2006-10-26,1428.01
2006-10-27,1403.82
2006-10-30,1398.2
2006-10-31,1413.29
2006-11-01,1419.92
2006-11-02,1414.21
2006-11-03,1421.42
2006-11-06,1416.91
2006-11-07,1395.43
2006-11-08,1391.32
2006-11-09,1409.1
2006-11-10,1369.3
2006-11-13,1322.06
2006-11-14,1340.65
2006-11-15,1358.4
2006-11-16,1336.95
2006-11-17,1349.02
2006-11-20,1338.04
2006-11-21,1346.41
2006-11-22,1356.06
2006-11-23,1365.92
2006-11-24,1378.49
2006-11-27,1402.45
2006-11-28,1408.67
2006-11-29,1418.85
2006-11-30,1438.1
2006-12-01,1446.56
2006-12-04,1467.52
2006-12-05,1478.46
2006-12-06,1458.21
2006-12-07,1445.87
2006-12-08,1396.23
2006-12-11,1432.46
2006-12-12,1437.53
2006-12-13,1444.37
2006-12-14,1463.12
2006-12-15,1477.25
2006-12-18,1498.52
2006-12-19,1511.07
2006-12-20,1543.79
2006-12-21,1535.63
2006-12-22,1525.51
2006-12-25,1541.63
2006-12-26,1524.68
2006-12-27,1529.46
2006-12-28,1489.35
2006-12-29,1502.46
2007-01-04,1498.25
2007-01-05,1535.23
2007-01-08,1590.19
2007-01-09,1629.01
2007-01-10,1673.05
2007-01-11,1689.5
2007-01-12,1635.22
2007-01-15,1703.58
2007-01-16,1747.98
2007-01-17,1750.82
2007-01-18,1797.15
2007-01-19,1858.12
