日期,收盘价,市盈率
2004-01-01,1000.0,nan
2004-12-31,1000.0,nan
2005-01-04,986.93,nan
2005-01-05,1003.63,nan
2005-01-06,994.6,nan
2005-01-07,997.61,nan
2005-01-10,1006.34,nan
2005-01-11,1008.34,nan
2005-01-12,1008.62,nan
2005-01-13,1013.07,nan
2005-01-14,1000.17,nan
2005-01-17,977.52,nan
2005-01-18,991.42,nan
2005-01-19,986.24,nan
2005-01-20,972.46,nan
2005-01-21,988.52,nan
2005-01-24,1008.17,nan
2005-01-25,999.55,nan
2005-01-26,987.96,nan
2005-01-27,971.37,nan
2005-01-28,952.41,nan
2005-01-31,922.65,nan
2005-02-01,913.33,nan
2005-02-02,964.24,nan
2005-02-03,945.31,nan
2005-02-04,962.03,nan
2005-02-16,972.34,nan
2005-02-17,977.27,nan
2005-02-18,964.77,nan
2005-02-21,981.82,nan
2005-02-22,1007.69,nan
2005-02-23,1019.26,nan
2005-02-24,1024.45,nan
2005-02-25,1024.12,nan
2005-02-28,1020.85,nan
2005-03-01,1021.16,nan
2005-03-02,1006.15,nan
2005-03-03,1011.29,nan
2005-03-04,1003.21,nan
2005-03-07,1006.95,nan
2005-03-08,1029.46,nan
2005-03-09,1032.55,nan
2005-03-10,1005.54,nan
2005-03-11,1009.43,nan
2005-03-14,1007.77,nan
2005-03-15,993.83,nan
2005-03-16,983.92,nan
2005-03-17,970.97,nan
2005-03-18,949.51,nan
2005-03-21,949.61,nan
2005-03-22,922.62,nan
2005-03-23,923.25,nan
2005-03-24,933.43,nan
2005-03-25,931.5,nan
2005-03-28,923.01,nan
2005-03-29,916.89,nan
2005-03-30,889.03,nan
2005-03-31,896.21,nan
2005-04-01,927.69,nan
2005-04-04,910.05,nan
2005-04-05,901.92,nan
2005-04-06,918.74,nan
2005-04-07,932.52,nan
2005-04-08,949.64,nan
2005-04-11,948.69,nan
2005-04-12,927.66,nan
2005-04-13,950.49,nan
2005-04-14,935.68,nan
2005-04-15,913.52,nan
2005-04-18,901.4,nan
2005-04-19,903.2,nan
2005-04-20,884.6,nan
2005-04-21,868.09,nan
2005-04-22,858.21,nan
2005-04-25,841.96,nan
2005-04-26,856.39,nan
2005-04-27,841.08,nan
2005-04-28,861.77,nan
2005-04-29,848.76,nan
2005-05-09,819.51,nan
2005-05-10,819.33,nan
2005-05-11,812.86,nan
2005-05-12,808.9,nan
2005-05-13,816.32,nan
2005-05-16,809.6,nan
2005-05-17,819.92,nan
2005-05-18,826.21,nan
2005-05-19,826.72,nan
2005-05-20,820.98,nan
2005-05-23,795.71,nan
2005-05-24,810.92,nan
2005-05-25,812.12,nan
2005-05-26,801.61,nan
2005-05-27,793.67,nan
2005-05-30,800.3,nan
2005-05-31,799.85,nan
2005-06-01,781.67,nan
2005-06-02,772.46,nan
2005-06-03,769.12,nan
2005-06-06,781.57,nan
2005-06-07,783.24,nan
2005-06-08,845.02,nan
2005-06-09,853.72,nan
2005-06-10,835.51,nan
2005-06-13,838.33,nan
2005-06-14,822.25,nan
2005-06-15,800.21,nan
2005-06-16,808.17,nan
2005-06-17,804.92,nan
2005-06-20,828.66,nan
2005-06-21,821.17,nan
2005-06-22,823.94,nan
2005-06-23,814.89,nan
2005-06-24,819.01,nan
2005-06-27,840.53,nan
2005-06-28,825.36,nan
2005-06-29,820.45,nan
2005-06-30,798.01,nan
2005-07-01,766.6,nan
2005-07-04,755.72,nan
2005-07-05,750.85,nan
2005-07-06,749.88,nan
2005-07-07,754.01,nan
2005-07-08,729.34,nan
2005-07-11,720.96,nan
2005-07-12,746.49,nan
2005-07-13,739.47,nan
2005-07-14,739.71,nan
