日期,收盘价
2004-01-01,1000.0
2004-12-31,1000.0
2005-01-04,981.56
2005-01-05,986.54
2005-01-06,975.53
2005-01-07,980.72
2005-01-10,989.53
2005-01-11,990.28
2005-01-12,989.82
2005-01-13,989.73
2005-01-14,984.76
2005-01-17,961.33
2005-01-18,965.39
2005-01-19,959.25
2005-01-20,949.45
2005-01-21,976.92
2005-01-24,992.22
2005-01-25,994.67
2005-01-26,988.22
2005-01-27,976.56
2005-01-28,969.62
2005-01-31,959.1
2005-02-01,962.42
2005-02-02,1012.53
2005-02-03,1004.12
2005-02-04,1027.26
2005-02-16,1034.99
2005-02-17,1028.54
2005-02-18,1013.78
2005-02-21,1032.69
2005-02-22,1054.21
2005-02-23,1054.11
2005-02-24,1053.41
2005-02-25,1053.84
2005-02-28,1047.24
2005-03-01,1040.56
2005-03-02,1023.22
2005-03-03,1031.41
2005-03-04,1027.52
2005-03-07,1033.63
2005-03-08,1054.1
2005-03-09,1054.37
2005-03-10,1027.82
2005-03-11,1031.73
2005-03-14,1038.42
2005-03-15,1018.74
2005-03-16,1008.53
2005-03-17,996.6
2005-03-18,984.56
2005-03-21,990.67
2005-03-22,976.08
2005-03-23,970.32
2005-03-24,976.58
2005-03-25,975.01
2005-03-28,973.51
2005-03-29,968.58
2005-03-30,952.3
2005-03-31,956.04
2005-04-01,990.51
2005-04-04,972.74
2005-04-05,963.35
2005-04-06,978.03
2005-04-07,985.73
2005-04-08,1003.5
2005-04-11,996.78
2005-04-12,982.88
2005-04-13,1005.15
2005-04-14,997.19
2005-04-15,985.68
2005-04-18,973.24
2005-04-19,975.81
2005-04-20,968.25
2005-04-21,960.76
2005-04-22,959.0
2005-04-25,947.59
2005-04-26,950.53
2005-04-27,934.61
2005-04-28,944.32
2005-04-29,935.12
2005-05-09,914.1
2005-05-10,918.66
2005-05-11,907.83
2005-05-12,888.63
2005-05-13,886.27
2005-05-16,876.41
2005-05-17,883.32
2005-05-18,882.73
2005-05-19,883.49
2005-05-20,882.38
2005-05-23,859.48
2005-05-24,859.74
2005-05-25,858.41
2005-05-26,848.12
2005-05-27,841.34
2005-05-30,847.18
2005-05-31,849.6
2005-06-01,832.52
2005-06-02,816.1
2005-06-03,811.57
2005-06-06,829.21
2005-06-07,827.61
2005-06-08,896.7
2005-06-09,902.27
2005-06-10,885.56
2005-06-13,885.14
2005-06-14,880.36
2005-06-15,866.87
2005-06-16,877.0
2005-06-17,884.1
2005-06-20,905.96
2005-06-21,897.19
2005-06-22,898.55
2005-06-23,892.38
2005-06-24,898.67
2005-06-27,912.8
2005-06-28,902.41
2005-06-29,899.53
2005-06-30,879.13
2005-07-01,867.59
2005-07-04,864.04
2005-07-05,855.03
2005-07-06,850.59
2005-07-07,854.59
2005-07-08,840.24
2005-07-11,833.72
2005-07-12,856.22
2005-07-13,851.3
2005-07-14,853.24
2005-07-15,844.69
2005-07-18,835.36
2005-07-19,835.88
2005-07-20,845.7
2005-07-21,849.74
2005-07-22,861.85
2005-07-25,859.44
2005-07-26,877.67
2005-07-27,896.05
2005-07-28,894.58
2005-07-29,892.82
2005-08-01,896.06
2005-08-02,906.92
2005-08-03,913.07
2005-08-04,910.54
2005-08-05,927.33
2005-08-08,934.6
2005-08-09,941.14
2005-08-10,945.38
2005-08-11,956.9
2005-08-12,947.89
2005-08-15,963.58
2005-08-16,956.3
2005-08-17,963.21
2005-08-18,945.06
2005-08-19,946.17
2005-08-22,951.46
2005-08-23,944.16
2005-08-24,952.83
2005-08-25,950.77
2005-08-26,946.94
2005-08-29,933.22
2005-08-30,930.97
2005-08-31,944.17
2005-09-01,958.85
2005-09-02,960.96
2005-09-05,964.81
2005-09-06,949.14
2005-09-07,963.89
2005-09-08,966.37
2005-09-09,963.95
2005-09-12,963.03
2005-09-13,976.52
2005-09-14,982.99
2005-09-15,986.21
2005-09-16,983.65
2005-09-19,989.12
2005-09-20,981.01
2005-09-21,964.03
2005-09-22,940.91
2005-09-23,937.19
2005-09-26,936.87
2005-09-27,923.55
2005-09-28,920.04
2005-09-29,932.87
2005-09-30,936.84
2005-10-10,924.0
2005-10-11,935.35
2005-10-12,939.19
2005-10-13,932.93
2005-10-14,920.76
2005-10-17,908.21
2005-10-18,912.76
2005-10-19,908.18
2005-10-20,906.38
2005-10-21,909.97
2005-10-24,908.7
2005-10-25,896.45
2005-10-26,877.08
2005-10-27,873.03
2005-10-28,865.16
2005-10-31,873.79
2005-11-01,869.64
2005-11-02,880.66
2005-11-03,871.47
2005-11-04,875.95
2005-11-07,874.77
2005-11-08,877.96
2005-11-09,876.06
2005-11-10,858.88
2005-11-11,857.46
2005-11-14,853.69
2005-11-15,851.04
2005-11-16,862.5
2005-11-17,858.87
2005-11-18,877.97
2005-11-21,881.12
2005-11-22,866.53
2005-11-23,872.27
2005-11-24,877.11
2005-11-25,878.08
2005-11-28,876.43
2005-11-29,866.54
2005-11-30,865.57
2005-12-01,866.75
2005-12-02,867.18
2005-12-05,856.81
2005-12-06,863.42
2005-12-07,870.73
2005-12-08,870.43
2005-12-09,882.17
2005-12-12,883.25
2005-12-13,884.38
2005-12-14,890.38
2005-12-15,891.11
2005-12-16,898.63
2005-12-19,904.07
2005-12-20,905.83
2005-12-21,900.2
2005-12-22,904.96
2005-12-23,912.02
2005-12-26,920.37
2005-12-27,920.5
2005-12-28,924.43
2005-12-29,929.37
2005-12-30,923.81
2006-01-04,934.21
2006-01-05,954.03
2006-01-06,964.04
2006-01-09,966.11
2006-01-10,968.42
2006-01-11,965.08
2006-01-12,973.7
2006-01-13,967.21
2006-01-16,952.18
2006-01-17,955.45
2006-01-18,974.36
2006-01-19,987.66
2006-01-20,992.03
2006-01-23,993.79
2006-01-24,990.8
2006-01-25,997.82
2006-02-06,1022.85
2006-02-07,1020.28
2006-02-08,1022.65
2006-02-09,1010.61
2006-02-10,1022.4
2006-02-13,1022.18
2006-02-14,1025.22
2006-02-15,1027.91
2006-02-16,1003.23
2006-02-17,1005.3
2006-02-20,1006.32
2006-02-21,1024.95
2006-02-22,1026.38
2006-02-23,1029.43
2006-02-24,1038.45
2006-02-27,1034.39
2006-02-28,1035.56
2006-03-01,1040.35
2006-03-02,1027.4
2006-03-03,1034.66
2006-03-06,1032.14
2006-03-07,1011.12
2006-03-08,1001.36
2006-03-09,1001.88
2006-03-10,1005.85
2006-03-13,1015.96
2006-03-14,1017.84
2006-03-15,1027.99
2006-03-16,1023.78
2006-03-17,1020.86
2006-03-20,1032.75
2006-03-21,1031.17
2006-03-22,1033.24
2006-03-23,1033.88
2006-03-24,1029.83
2006-03-27,1031.81
2006-03-28,1034.3
2006-03-29,1042.85
2006-03-30,1036.1
2006-03-31,1038.07
2006-04-03,1048.58
2006-04-04,1059.01
2006-04-05,1069.21
2006-04-06,1069.38
2006-04-07,1069.44
2006-04-10,1085.48
2006-04-11,1095.38
2006-04-12,1086.92
2006-04-13,1072.4
2006-04-14,1098.91
2006-04-17,1106.88
2006-04-18,1113.0
2006-04-19,1115.62
2006-04-20,1103.93
2006-04-21,1115.83
2006-04-24,1102.38
2006-04-25,1093.1
2006-04-26,1109.12
2006-04-27,1105.83
2006-04-28,1111.71
2006-05-08,1150.12
2006-05-09,1169.72
2006-05-10,1179.87
2006-05-11,1169.65
2006-05-12,1198.69
2006-05-15,1248.54
2006-05-16,1240.37
2006-05-17,1264.71
2006-05-18,1253.59
2006-05-19,1281.46
2006-05-22,1300.58
2006-05-23,1260.56
2006-05-24,1246.6
2006-05-25,1243.44
2006-05-26,1263.68
2006-05-29,1296.89
2006-05-30,1304.52
2006-05-31,1304.19
2006-06-01,1336.43
2006-06-02,1328.78
2006-06-05,1339.69
2006-06-06,1344.17
2006-06-07,1273.01
2006-06-08,1281.76
2006-06-09,1255.93
2006-06-12,1256.63
2006-06-13,1251.9
2006-06-14,1230.27
2006-06-15,1229.84
2006-06-16,1259.81
2006-06-19,1267.86
2006-06-20,1273.14
2006-06-21,1272.03
2006-06-22,1267.68
2006-06-23,1273.67
2006-06-26,1295.37
2006-06-27,1293.96
2006-06-28,1300.56
2006-06-29,1333.55
2006-06-30,1334.15
2006-07-03,1350.83
2006-07-04,1337.39
2006-07-05,1320.83
2006-07-06,1344.21
2006-07-07,1335.53
2006-07-10,1335.61
2006-07-11,1335.7
2006-07-12,1337.86
2006-07-13,1273.86
2006-07-14,1282.0
2006-07-17,1298.28
2006-07-18,1299.93
2006-07-19,1269.87
2006-07-20,1274.43
2006-07-21,1281.13
2006-07-24,1279.21
2006-07-25,1297.26
2006-07-26,1298.41
2006-07-27,1285.04
2006-07-28,1275.54
2006-07-31,1229.43
2006-08-01,1221.83
2006-08-02,1218.26
2006-08-03,1220.15
2006-08-04,1193.56
2006-08-07,1175.17
2006-08-08,1201.62
2006-08-09,1199.05
2006-08-10,1222.16
2006-08-11,1224.4
2006-08-14,1195.73
2006-08-15,1215.62
2006-08-16,1229.32
2006-08-17,1218.94
2006-08-18,1215.42
2006-08-21,1212.89
2006-08-22,1222.2
2006-08-23,1222.71
2006-08-24,1229.31
2006-08-25,1237.19
2006-08-28,1259.73
2006-08-29,1260.95
2006-08-30,1262.58
2006-08-31,1267.02
2006-09-01,1255.66
2006-09-04,1270.0
2006-09-05,1266.65
2006-09-06,1272.05
2006-09-07,1254.76
2006-09-08,1257.84
2006-09-11,1260.51
2006-09-12,1272.01
2006-09-13,1268.09
2006-09-14,1261.66
2006-09-15,1290.27
2006-09-18,1304.87
2006-09-19,1304.48
2006-09-20,1298.83
2006-09-21,1301.17
2006-09-22,1285.71
2006-09-25,1278.33
2006-09-26,1270.25
2006-09-27,1278.06
2006-09-28,1287.29
2006-09-29,1297.99
2006-10-09,1323.22
2006-10-10,1329.32
2006-10-11,1332.54
2006-10-12,1340.9
2006-10-13,1341.2
2006-10-16,1330.48
2006-10-17,1325.07
2006-10-18,1341.22
2006-10-19,1344.3
2006-10-20,1338.83
2006-10-23,1315.35
2006-10-24,1346.64
2006-10-25,1350.53
2006-10-26,1355.59
2006-10-27,1353.64
2006-10-30,1377.45
2006-10-31,1398.97
2006-11-01,1419.58
2006-11-02,1428.81
2006-11-03,1432.97
2006-11-06,1472.8
2006-11-07,1465.63
2006-11-08,1439.68
2006-11-09,1461.68
2006-11-10,1434.65
2006-11-13,1399.47
2006-11-14,1401.0
2006-11-15,1449.38
2006-11-16,1440.3
2006-11-17,1481.45
2006-11-20,1513.38
2006-11-21,1531.04
2006-11-22,1532.53
2006-11-23,1547.09
2006-11-24,1550.6
2006-11-27,1570.24
2006-11-28,1563.57
2006-11-29,1581.81
2006-11-30,1638.14
2006-12-01,1646.91
2006-12-04,1691.22
2006-12-05,1702.9
2006-12-06,1679.58
2006-12-07,1686.92
2006-12-08,1620.28
2006-12-11,1690.8
2006-12-12,1704.84
2006-12-13,1723.03
2006-12-14,1748.21
2006-12-15,1766.21
2006-12-18,1791.2
2006-12-19,1803.19
2006-12-20,1810.37
2006-12-21,1771.47
2006-12-22,1759.35
2006-12-25,1792.68
2006-12-26,1813.45
2006-12-27,1845.73
2006-12-28,1843.23
2006-12-29,1894.73
2007-01-04,1950.6
2007-01-05,2011.06
2007-01-08,2070.61
2007-01-09,2147.27
2007-01-10,2200.15
2007-01-11,2161.83
2007-01-12,2072.59
