日期,收盘价,到期收益率
2002-01-04,99.9868,nan
2002-01-07,100.0286,nan
2002-01-08,100.1741,nan
2002-01-09,100.1507,nan
2002-01-10,100.303,nan
2002-01-11,100.6259,nan
2002-01-14,100.5436,nan
2002-01-15,100.6747,nan
2002-01-16,100.8134,nan
2002-01-17,100.6165,nan
2002-01-18,100.5702,nan
2002-01-21,100.7105,nan
2002-01-22,100.7189,nan
2002-01-23,100.5197,nan
2002-01-24,100.9171,nan
2002-01-25,100.879,nan
2002-01-28,100.9574,nan
2002-01-29,100.971,nan
2002-01-30,101.0661,nan
2002-01-31,101.0663,nan
2002-02-01,101.1157,nan
2002-02-04,101.2056,nan
2002-02-05,101.2172,nan
2002-02-06,101.2216,nan
2002-02-07,101.152,nan
2002-02-08,101.2241,nan
2002-02-09,101.2254,nan
2002-02-10,101.2048,nan
2002-02-11,101.0848,nan
2002-02-19,101.2456,nan
2002-02-20,101.2766,nan
2002-02-21,101.4669,nan
2002-02-22,101.1753,nan
2002-02-25,101.5355,nan
2002-02-26,101.5621,nan
2002-02-27,101.517,nan
2002-02-28,101.5392,nan
2002-03-01,101.4994,nan
2002-03-04,101.5771,nan
2002-03-05,101.5203,nan
2002-03-06,101.717,nan
2002-03-07,101.7808,nan
2002-03-08,101.9021,nan
2002-03-11,101.8431,nan
2002-03-12,102.026,nan
2002-03-13,102.0692,nan
2002-03-14,101.9784,nan
2002-03-15,101.8668,nan
2002-03-18,101.9519,nan
2002-03-19,101.9982,nan
2002-03-20,101.9183,nan
2002-03-21,102.2063,nan
2002-03-22,102.3617,nan
2002-03-25,102.2827,nan
2002-03-26,102.384,nan
2002-03-27,102.4388,nan
2002-03-28,102.2687,nan
2002-03-29,102.4313,nan
2002-04-01,102.1149,nan
2002-04-02,102.8188,nan
2002-04-03,102.5537,nan
2002-04-04,102.6256,nan
2002-04-05,102.6391,nan
2002-04-08,102.7246,nan
2002-04-09,102.5285,nan
2002-04-10,102.5728,nan
2002-04-11,102.6358,nan
2002-04-12,102.7601,nan
2002-04-15,102.886,nan
2002-04-16,102.9493,nan
2002-04-17,102.9462,nan
2002-04-18,102.8851,nan
2002-04-19,102.8331,nan
2002-04-22,102.8912,nan
2002-04-23,102.4271,nan
2002-04-24,102.9728,nan
2002-04-25,102.2399,nan
2002-04-26,103.1441,nan
2002-04-27,103.2493,nan
2002-04-28,102.9395,nan
2002-04-29,103.2376,nan
2002-04-30,103.1656,nan
2002-05-08,103.246,nan
2002-05-09,103.2296,nan
2002-05-10,103.2724,nan
2002-05-13,103.2634,nan
2002-05-14,103.4003,nan
2002-05-15,103.3892,nan
2002-05-16,103.3671,nan
2002-05-17,103.4119,nan
2002-05-20,103.4448,nan
2002-05-21,103.4962,nan
2002-05-22,102.8341,nan
2002-05-23,103.4505,nan
2002-05-24,103.5249,nan
2002-05-27,102.8038,nan
2002-05-28,103.5771,nan
2002-05-29,103.6878,nan
2002-05-30,103.7328,nan
2002-05-31,103.7586,nan
2002-06-03,103.83,nan
2002-06-04,103.9268,nan
2002-06-05,103.8914,nan
2002-06-06,103.9457,nan
2002-06-07,103.5473,nan
2002-06-10,103.8672,nan
2002-06-11,103.8517,nan
2002-06-12,103.8802,nan
2002-06-13,103.9049,nan
2002-06-14,103.9142,nan
2002-06-17,103.8822,nan
2002-06-18,103.9006,nan
2002-06-19,103.9598,nan
2002-06-20,103.6898,nan
2002-06-21,103.8817,nan
2002-06-24,103.942,nan
2002-06-25,103.8131,nan
2002-06-26,103.7807,nan
2002-06-27,103.7379,nan
2002-06-28,103.8412,nan
2002-07-01,103.8398,nan
2002-07-02,103.7267,nan
2002-07-03,103.6087,nan
2002-07-04,103.8624,nan
2002-07-05,103.8445,nan
2002-07-08,103.8599,nan
2002-07-09,103.7208,nan
2002-07-10,103.5949,nan
2002-07-11,103.7096,nan
2002-07-12,103.555,nan
2002-07-15,103.1883,nan
2002-07-16,103.5809,nan
2002-07-17,103.5847,nan
2002-07-18,103.5859,nan
2002-07-19,103.2238,nan
2002-07-22,103.3621,nan
2002-07-23,103.5386,nan
2002-07-24,103.4232,nan
2002-07-25,103.4813,nan
2002-07-26,103.4871,nan
2002-07-29,103.8216,nan
2002-07-30,103.4046,nan
2002-07-31,103.3699,nan
2002-08-01,103.4457,nan
2002-08-02,103.3959,nan
2002-08-05,103.5849,nan
2002-08-06,103.461,nan
2002-08-07,103.4912,nan
2002-08-08,103.4544,nan
2002-08-09,103.4549,nan
2002-08-12,103.6407,nan
2002-08-13,104.0316,nan
2002-08-14,103.5251,nan
2002-08-15,103.3888,nan
2002-08-16,103.4784,nan
2002-08-19,103.2258,nan
2002-08-20,103.4215,nan
2002-08-21,103.4224,nan
2002-08-22,103.4662,nan
2002-08-23,103.0746,nan
2002-08-26,102.9554,nan
2002-08-27,102.963,nan
2002-08-28,103.1795,nan
2002-08-29,103.1978,nan
2002-08-30,103.3059,nan
2002-09-02,103.3287,nan
2002-09-03,103.3377,nan
2002-09-04,103.3624,nan
2002-09-05,103.1136,nan
2002-09-06,102.952,nan
2002-09-09,103.1881,nan
2002-09-10,103.2695,nan
2002-09-11,102.9812,nan
2002-09-12,102.7751,nan
2002-09-13,102.7634,nan
2002-09-16,102.807,nan
2002-09-17,102.751,nan
2002-09-18,102.3521,nan
2002-09-19,102.8226,nan
2002-09-20,102.702,nan
2002-09-23,102.5621,nan
2002-09-24,102.7433,nan
2002-09-25,102.1696,nan
2002-09-26,102.8692,nan
2002-09-27,102.6074,nan
2002-09-28,102.5768,nan
2002-09-29,102.5409,nan
2002-09-30,103.3417,nan
2002-10-08,102.7203,nan
2002-10-09,102.7329,nan
2002-10-10,102.8838,nan
2002-10-11,102.7178,nan
2002-10-14,102.8015,nan
2002-10-15,102.8972,nan
2002-10-16,102.8712,nan
2002-10-17,103.062,nan
2002-10-18,102.9094,nan
2002-10-21,103.0123,nan
2002-10-22,103.0766,nan
2002-10-23,102.8691,nan
2002-10-24,102.8572,nan
2002-10-25,102.7406,nan
2002-10-28,102.8324,nan
2002-10-29,102.4706,nan
2002-10-30,102.6141,nan
2002-10-31,102.5774,nan
2002-11-01,102.4555,nan
2002-11-04,102.6009,nan
2002-11-05,102.5777,nan
2002-11-06,102.6277,nan
2002-11-07,102.6323,nan
2002-11-08,102.6505,nan
2002-11-11,102.6853,nan
2002-11-12,102.7117,nan
2002-11-13,102.7021,nan
2002-11-14,102.6751,nan
2002-11-15,102.8919,nan
2002-11-18,102.7909,nan
2002-11-19,102.8665,nan
2002-11-20,102.7311,nan
2002-11-21,102.7276,nan
2002-11-22,102.8688,nan
2002-11-25,102.9196,nan
2002-11-26,102.8272,nan
2002-11-27,102.878,nan
2002-11-28,102.8964,nan
2002-11-29,102.8069,nan
2002-12-02,102.8626,nan
2002-12-03,102.8637,nan
2002-12-04,102.9001,nan
2002-12-05,102.9568,nan
2002-12-06,102.9794,nan
2002-12-09,103.0656,nan
2002-12-10,103.0755,nan
2002-12-11,103.0318,nan
2002-12-12,103.0465,nan
