日期,收盘价
2002-01-04,99.9515
2002-01-07,100.0206
2002-01-08,99.799
2002-01-09,99.6221
2002-01-10,99.6537
2002-01-11,99.9558
2002-01-14,99.9353
2002-01-15,100.1706
2002-01-16,100.27
2002-01-17,100.3286
2002-01-18,100.3013
2002-01-21,100.6221
2002-01-22,100.5234
2002-01-23,100.4285
2002-01-24,100.5646
2002-01-25,100.5937
2002-01-28,100.5747
2002-01-29,100.4252
2002-01-30,100.6199
2002-01-31,100.8081
2002-02-01,100.9946
2002-02-04,100.9218
2002-02-05,101.0718
2002-02-06,101.0308
2002-02-07,101.0262
2002-02-08,101.1063
2002-02-09,101.2673
2002-02-10,101.3127
2002-02-11,101.1589
2002-02-19,101.1487
2002-02-20,101.1312
2002-02-21,101.2258
2002-02-22,101.2303
2002-02-25,101.2716
2002-02-26,101.3964
2002-02-27,101.5256
2002-02-28,101.6385
2002-03-01,101.6422
2002-03-04,101.7058
2002-03-05,101.8664
2002-03-06,101.879
2002-03-07,101.8392
2002-03-08,101.9032
2002-03-11,101.5789
2002-03-12,101.9215
2002-03-13,101.9736
2002-03-14,102.0085
2002-03-15,102.0646
2002-03-18,102.228
2002-03-19,102.3809
2002-03-20,102.2061
2002-03-21,102.4765
2002-03-22,102.5896
2002-03-25,102.6466
2002-03-26,102.6939
2002-03-27,102.6317
2002-03-28,102.3628
2002-03-29,102.7577
2002-04-01,103.0119
2002-04-02,103.0757
2002-04-03,103.2066
2002-04-04,103.2555
2002-04-05,102.993
2002-04-08,103.4923
2002-04-09,103.0957
2002-04-10,103.5828
2002-04-11,103.6618
2002-04-12,103.7378
2002-04-15,103.8234
2002-04-16,103.8123
2002-04-17,103.8271
2002-04-18,103.8574
2002-04-19,103.8065
2002-04-22,103.8678
2002-04-23,103.7759
2002-04-24,103.9003
2002-04-25,104.0443
2002-04-26,104.1102
2002-04-27,103.9186
2002-04-28,104.1593
2002-04-29,104.1183
2002-04-30,103.7576
2002-05-08,104.1089
2002-05-09,104.1698
2002-05-10,104.1746
2002-05-13,104.2184
2002-05-14,104.1509
2002-05-15,104.2856
2002-05-16,104.3244
2002-05-17,104.2459
2002-05-20,104.4662
2002-05-21,104.4722
2002-05-22,104.5763
2002-05-23,104.6569
2002-05-24,104.7454
2002-05-27,104.8253
2002-05-28,105.0031
2002-05-29,105.0111
2002-05-30,105.1382
2002-05-31,105.1391
2002-06-03,105.2385
2002-06-04,104.8207
2002-06-05,104.7485
2002-06-06,105.1259
2002-06-07,104.6618
2002-06-10,104.7653
2002-06-11,104.6149
2002-06-12,105.2264
2002-06-13,105.2974
2002-06-14,105.2521
2002-06-17,105.221
2002-06-18,105.218
2002-06-19,105.1678
2002-06-20,105.1479
2002-06-21,105.1174
2002-06-24,104.2232
2002-06-25,104.6678
2002-06-26,104.667
2002-06-27,104.6595
2002-06-28,104.8922
2002-07-01,104.2977
2002-07-02,104.8461
2002-07-03,104.2237
2002-07-04,104.8763
2002-07-05,104.9113
2002-07-08,104.9851
2002-07-09,104.9934
2002-07-10,104.6873
2002-07-11,103.9348
2002-07-12,104.1356
2002-07-15,104.1464
2002-07-16,104.2226
2002-07-17,103.8771
2002-07-18,103.649
2002-07-19,103.6362
2002-07-22,103.5725
2002-07-23,104.6782
2002-07-24,103.307
2002-07-25,104.3216
2002-07-26,103.6237
2002-07-29,103.5668
2002-07-30,103.8685
2002-07-31,104.5289
2002-08-01,103.6986
2002-08-02,103.5815
2002-08-05,103.6367
2002-08-06,103.9584
2002-08-07,103.9052
2002-08-08,103.5627
2002-08-09,103.6622
2002-08-12,103.4988
2002-08-13,103.5709
2002-08-14,103.2943
2002-08-15,103.6567
2002-08-16,103.1746
2002-08-19,103.2828
2002-08-20,103.7365
2002-08-21,103.6157
2002-08-22,103.7055
2002-08-23,103.5956
2002-08-26,103.5623
2002-08-27,103.4975
2002-08-28,103.4369
2002-08-29,103.4401
2002-08-30,103.4626
2002-09-02,103.3846
2002-09-03,103.5956
2002-09-04,103.5638
2002-09-05,103.4323
2002-09-06,103.5214
2002-09-09,103.6125
2002-09-10,103.6164
2002-09-11,103.3426
2002-09-12,103.6838
2002-09-13,103.1405
2002-09-16,103.2325
2002-09-17,102.8383
2002-09-18,103.8536
2002-09-19,102.98
2002-09-20,103.0498
2002-09-23,103.1069
2002-09-24,103.1206
2002-09-25,102.3143
2002-09-26,103.3757
2002-09-27,103.293
2002-09-28,103.2933
2002-09-29,103.1184
2002-09-30,103.7051
2002-10-08,103.3797
2002-10-09,103.2848
2002-10-10,103.3711
2002-10-11,103.3992
2002-10-14,103.3506
2002-10-15,103.3343
2002-10-16,103.3292
2002-10-17,103.2883
2002-10-18,103.1515
2002-10-21,103.1659
2002-10-22,103.061
2002-10-23,102.9013
2002-10-24,102.9245
2002-10-25,102.8157
2002-10-28,103.3265
2002-10-29,102.378
2002-10-30,102.5631
2002-10-31,103.2194
2002-11-01,101.9378
2002-11-04,102.0141
2002-11-05,102.1441
2002-11-06,102.1615
2002-11-07,102.1484
2002-11-08,102.2476
2002-11-11,102.1897
2002-11-12,102.2018
2002-11-13,102.2111
2002-11-14,102.2136
2002-11-15,102.2976
2002-11-18,102.4706
2002-11-19,102.0991
2002-11-20,102.4932
2002-11-21,102.4539
2002-11-22,102.8271
2002-11-25,102.7158
2002-11-26,102.7614
2002-11-27,102.5837
2002-11-28,102.4474
2002-11-29,102.5813
2002-12-02,102.2403
2002-12-03,102.2311
2002-12-04,102.3291
2002-12-05,102.8267
2002-12-06,102.3279
2002-12-09,102.4198
2002-12-10,103.2955
2002-12-11,103.4005
2002-12-12,102.2726
2002-12-13,102.64
2002-12-16,102.584
2002-12-17,102.2784
2002-12-18,103.0782
2002-12-19,102.3114
2002-12-20,102.6922
2002-12-23,102.4733
2002-12-24,103.2375
2002-12-25,103.779
2002-12-26,102.5936
2002-12-27,104.4191
2002-12-30,104.1108
2002-12-31,103.9422
2003-01-02,103.8344
2003-01-03,103.9092
2003-01-06,103.15
2003-01-07,103.1605
2003-01-08,103.2931
2003-01-09,103.1719
2003-01-10,103.9137
2003-01-13,103.8154
2003-01-14,103.8705
2003-01-15,103.7762
2003-01-16,103.449
2003-01-17,103.4512
2003-01-20,103.4772
