日期,收盘价
2020-08-17,7075.03
2020-08-18,7196.01
2020-08-20,7167.6
2020-08-21,7168.87
2020-08-24,7329.91
2020-08-25,7223.67
2020-08-26,7275.44
2020-08-27,7540.86
2020-08-28,7580.9
2020-08-31,7543.86
2020-09-01,7674.71
2020-09-02,7909.39
2020-09-03,7706.06
2020-09-04,7588.02
2020-09-07,7240.96
2020-09-08,7123.28
2020-09-09,7015.64
2020-09-10,6999.72
2020-09-11,7178.27
2020-09-14,7317.31
2020-09-15,7348.72
2020-09-16,7430.09
2020-09-17,7301.56
2020-09-18,7371.82
2020-09-21,7195.75
2020-09-22,7233.32
2020-09-23,7298.62
2020-09-24,7054.28
2020-09-25,6918.77
2020-09-28,6978.59
2020-09-29,6977.3
2020-09-30,7087.64
2020-10-05,7092.06
2020-10-06,7336.35
2020-10-07,7494.59
2020-10-08,7511.11
2020-10-09,7503.27
2020-10-12,7748.85
2020-10-14,7819.84
2020-10-15,7541.04
2020-10-16,7604.61
2020-10-19,7570.71
2020-10-20,7644.48
2020-10-21,7618.06
2020-10-22,7620.34
2020-10-23,7484.48
2020-10-27,7547.66
2020-10-28,7656.45
2020-10-29,7675.42
2020-10-30,7534.39
2020-11-02,7585.76
2020-11-03,7714.73
2020-11-04,7758.72
2020-11-05,8181.62
2020-11-06,8152.54
2020-11-09,8394.19
2020-11-10,7961.74
2020-11-11,7465.44
2020-11-12,7706.58
2020-11-13,7939.72
2020-11-16,8075.83
2020-11-17,7933.13
2020-11-18,7972.21
2020-11-19,7903.37
2020-11-20,7997.52
2020-11-23,8088.86
2020-11-24,8107.1
2020-11-25,7921.35
2020-11-26,8057.14
2020-11-27,8090.05
2020-11-30,8019.36
2020-12-01,7985.36
2020-12-02,7848.25
2020-12-03,7940.19
2020-12-04,7952.8
2020-12-07,7944.79
2020-12-08,8085.11
2020-12-09,8101.77
2020-12-10,8025.83
2020-12-11,8080.6
2020-12-14,8128.81
2020-12-15,8094.42
2020-12-16,8146.4
2020-12-17,8332.66
2020-12-18,8253.83
2020-12-21,8159.95
2020-12-22,8186.66
2020-12-23,8426.07
2020-12-24,8142.81
2020-12-28,7795.78
2020-12-29,7997.83
2020-12-30,8295.37
2020-12-31,8425.9
2021-01-04,8489.69
2021-01-05,8463.55
2021-01-06,8609.6
2021-01-07,8400.85
2021-01-08,8630.32
2021-01-11,8665.47
2021-01-12,8726.64
2021-01-13,8669.71
2021-01-14,8895.21
2021-01-15,8775.54
2021-01-18,9116.24
2021-01-19,9374.79
2021-01-20,9885.22
2021-01-21,9809.84
2021-01-22,9765.76
2021-01-25,10206.61
2021-01-26,9967.45
2021-01-27,9807.73
2021-01-28,9372.88
2021-01-29,9358.11
2021-02-01,9765.89
2021-02-02,9976.44
2021-02-03,10125.72
2021-02-04,9897.37
2021-02-05,9795.16
2021-02-08,9756.81
2021-02-09,9961.71
2021-02-10,10214.73
2021-02-11,10411.2
2021-02-16,10694.68
2021-02-17,10945.22
2021-02-18,10591.53
2021-02-19,10560.97
2021-02-22,9977.41
2021-02-23,9863.82
2021-02-24,9360.95
2021-02-25,9496.79
2021-02-26,8954.44
2021-03-01,9298.79
2021-03-02,9257.99
2021-03-03,9366.51
2021-03-04,8819.62
2021-03-05,8634.22
2021-03-08,8081.63
2021-03-09,8063.12
2021-03-10,8216.58
2021-03-11,8640.16
2021-03-12,8456.43
2021-03-15,8264.42
2021-03-16,8530.82
2021-03-17,8574.04
2021-03-18,8676.33
2021-03-19,8551.32
2021-03-22,8508.85
2021-03-23,8295.42
2021-03-24,8040.99
2021-03-25,7944.8
2021-03-26,8124.16
2021-03-29,7981.07
2021-03-30,8180.32
2021-03-31,8183.8
2021-04-01,8569.64
2021-04-07,8451.85
2021-04-08,8458.11
2021-04-09,8305.93
2021-04-12,8169.5
2021-04-13,8038.81
2021-04-14,8225.67
2021-04-15,8142.92
2021-04-16,8232.13
2021-04-19,8346.39
2021-04-20,8311.69
2021-04-21,8185.0
2021-04-22,8279.74
2021-04-23,8467.75
2021-04-26,8485.24
2021-04-27,8508.83
2021-04-28,8532.76
2021-04-29,8500.13
2021-04-30,8313.18
2021-05-03,8227.89
2021-05-04,8284.12
2021-05-05,8107.9
2021-05-06,8136.87
2021-05-07,7954.82
2021-05-10,7886.02
2021-05-11,7649.68
2021-05-12,7861.18
2021-05-13,7599.62
2021-05-14,7565.31
2021-05-17,7699.96
2021-05-18,7817.69
2021-05-20,7915.72
2021-05-21,8025.31
2021-05-24,7876.61
2021-05-25,8004.37
2021-05-26,8072.46
2021-05-27,8123.88
2021-05-28,7957.63
2021-05-31,8104.35
2021-06-01,8305.74
2021-06-02,8235.1
2021-06-03,8164.34
2021-06-04,8095.64
