日期,收盘价
2004-01-01,1000.0
2004-12-31,1000.0
2005-01-04,982.79
2005-01-05,992.56
2005-01-06,983.17
2005-01-07,983.96
2005-01-10,993.88
2005-01-11,997.14
2005-01-12,996.75
2005-01-13,996.88
2005-01-14,988.31
2005-01-17,967.45
2005-01-18,974.69
2005-01-19,967.21
2005-01-20,956.25
2005-01-21,982.6
2005-01-24,998.13
2005-01-25,997.78
2005-01-26,989.93
2005-01-27,974.63
2005-01-28,969.21
2005-01-31,954.88
2005-02-01,955.95
2005-02-02,1006.91
2005-02-03,993.22
2005-02-04,1016.86
2005-02-16,1023.58
2005-02-17,1020.61
2005-02-18,1006.06
2005-02-21,1025.63
2005-02-22,1046.74
2005-02-23,1043.94
2005-02-24,1045.46
2005-02-25,1046.76
2005-02-28,1039.99
2005-03-01,1035.93
2005-03-02,1021.32
2005-03-03,1027.71
2005-03-04,1023.67
2005-03-07,1029.87
2005-03-08,1048.99
2005-03-09,1046.54
2005-03-10,1022.41
2005-03-11,1027.43
2005-03-14,1031.03
2005-03-15,1013.52
2005-03-16,1003.07
2005-03-17,992.86
2005-03-18,978.67
2005-03-21,981.89
2005-03-22,964.02
2005-03-23,959.01
2005-03-24,964.8
2005-03-25,962.96
2005-03-28,960.7
2005-03-29,955.19
2005-03-30,937.03
2005-03-31,942.2
2005-04-01,978.15
2005-04-04,962.17
2005-04-05,955.6
2005-04-06,973.67
2005-04-07,984.73
2005-04-08,1003.45
2005-04-11,995.42
2005-04-12,978.7
2005-04-13,1000.9
2005-04-14,986.98
2005-04-15,974.08
2005-04-18,963.77
2005-04-19,965.89
2005-04-20,950.87
2005-04-21,943.98
2005-04-22,939.1
2005-04-25,930.07
2005-04-26,937.08
2005-04-27,926.6
2005-04-28,942.07
2005-04-29,932.4
2005-05-09,909.17
2005-05-10,913.08
2005-05-11,901.85
2005-05-12,885.82
2005-05-13,887.54
2005-05-16,875.27
2005-05-17,881.46
2005-05-18,883.2
2005-05-19,884.17
2005-05-20,882.76
2005-05-23,863.34
2005-05-24,868.46
2005-05-25,868.45
2005-05-26,857.33
2005-05-27,849.51
2005-05-30,855.61
2005-05-31,855.95
2005-06-01,837.53
2005-06-02,818.38
2005-06-03,818.03
2005-06-06,839.0
2005-06-07,837.28
2005-06-08,905.77
2005-06-09,912.6
2005-06-10,894.56
2005-06-13,892.96
2005-06-14,883.54
2005-06-15,866.83
2005-06-16,879.24
2005-06-17,880.35
2005-06-20,906.26
2005-06-21,896.17
2005-06-22,900.65
2005-06-23,893.57
2005-06-24,898.3
2005-06-27,916.04
2005-06-28,903.72
2005-06-29,898.9
2005-06-30,878.69
2005-07-01,859.62
2005-07-04,856.22
2005-07-05,849.86
2005-07-06,842.75
2005-07-07,844.95
2005-07-08,829.69
2005-07-11,824.36
2005-07-12,852.09
2005-07-13,846.51
2005-07-14,849.87
2005-07-15,841.28
2005-07-18,833.27
2005-07-19,835.88
2005-07-20,842.92
2005-07-21,844.27
2005-07-22,859.98
2005-07-25,857.15
2005-07-26,876.77
2005-07-27,894.31
2005-07-28,891.18
2005-07-29,888.54
2005-08-01,891.98
2005-08-02,903.98
2005-08-03,909.96
2005-08-04,904.84
2005-08-05,925.62
2005-08-08,929.24
2005-08-09,935.08
2005-08-10,942.38
2005-08-11,956.48
2005-08-12,941.43
2005-08-15,962.21
2005-08-16,952.69
2005-08-17,960.8
2005-08-18,932.39
2005-08-19,934.79
2005-08-22,943.25
2005-08-23,934.89
2005-08-24,942.22
2005-08-25,941.68
2005-08-26,939.8
2005-08-29,928.77
2005-08-30,926.25
2005-08-31,939.45
2005-09-01,956.3
2005-09-02,959.65
2005-09-05,964.56
2005-09-06,948.25
2005-09-07,964.6
2005-09-08,967.16
2005-09-09,960.86
2005-09-12,961.3
2005-09-13,975.74
2005-09-14,982.24
2005-09-15,981.64
2005-09-16,979.51
2005-09-19,983.2
2005-09-20,973.87
2005-09-21,956.14
2005-09-22,934.74
2005-09-23,927.53
2005-09-26,929.89
2005-09-27,915.44
2005-09-28,914.94
2005-09-29,927.35
2005-09-30,928.78
2005-10-10,918.59
2005-10-11,931.14
2005-10-12,934.95
2005-10-13,927.88
2005-10-14,916.06
2005-10-17,908.77
2005-10-18,913.57
2005-10-19,909.9
2005-10-20,911.09
2005-10-21,915.57
2005-10-24,916.56
2005-10-25,904.07
2005-10-26,884.74
2005-10-27,884.34
2005-10-28,875.71
2005-10-31,884.12
2005-11-01,880.51
2005-11-02,890.13
2005-11-03,882.08
2005-11-04,885.89
2005-11-07,884.33
2005-11-08,888.45
2005-11-09,886.17
2005-11-10,869.64
2005-11-11,871.47
2005-11-14,868.48
2005-11-15,862.93
2005-11-16,869.46
2005-11-17,868.95
2005-11-18,888.72
2005-11-21,889.24
2005-11-22,874.9
2005-11-23,881.55
2005-11-24,886.85
2005-11-25,889.53
2005-11-28,885.63
2005-11-29,876.72
2005-11-30,879.12
2005-12-01,878.44
2005-12-02,875.42
2005-12-05,865.01
2005-12-06,871.53
2005-12-07,879.34
2005-12-08,879.56
2005-12-09,893.1
2005-12-12,894.41
2005-12-13,895.09
2005-12-14,904.21
2005-12-15,902.54
2005-12-16,908.85
2005-12-19,909.58
2005-12-20,913.98
2005-12-21,910.02
2005-12-22,915.73
2005-12-23,922.92
2005-12-26,929.46
2005-12-27,926.62
2005-12-28,928.19
2005-12-29,943.21
2005-12-30,923.45
2006-01-04,941.43
2006-01-05,959.13
2006-01-06,970.03
2006-01-09,975.25
2006-01-10,978.15
2006-01-11,973.48
2006-01-12,983.72
2006-01-13,978.81
2006-01-16,961.44
2006-01-17,964.29
2006-01-18,983.62
2006-01-19,991.22
2006-01-20,993.34
2006-01-23,996.16
2006-01-24,999.09
2006-01-25,1009.6
2006-02-06,1033.23
2006-02-07,1029.94
2006-02-08,1033.07
2006-02-09,1019.6
2006-02-10,1032.34
2006-02-13,1031.61
2006-02-14,1038.53
2006-02-15,1041.66
2006-02-16,1020.12
2006-02-17,1020.37
2006-02-20,1021.64
2006-02-21,1038.82
2006-02-22,1037.89
2006-02-23,1041.37
2006-02-24,1049.44
2006-02-27,1047.85
2006-02-28,1053.01
2006-03-01,1056.62
2006-03-02,1038.67
2006-03-03,1041.68
2006-03-06,1038.87
2006-03-07,1014.97
2006-03-08,1009.27
2006-03-09,1004.34
2006-03-10,1008.9
2006-03-13,1019.86
2006-03-14,1018.27
2006-03-15,1028.96
2006-03-16,1027.62
2006-03-17,1024.02
2006-03-20,1037.66
2006-03-21,1040.76
2006-03-22,1047.67
2006-03-23,1048.54
2006-03-24,1042.6
2006-03-27,1050.71
2006-03-28,1055.98
2006-03-29,1065.29
2006-03-30,1055.63
2006-03-31,1061.09
2006-04-03,1079.32
2006-04-04,1089.65
2006-04-05,1100.44
2006-04-06,1103.71
2006-04-07,1103.63
2006-04-10,1118.39
2006-04-11,1123.79
2006-04-12,1117.55
2006-04-13,1094.39
2006-04-14,1119.33
2006-04-17,1125.14
2006-04-18,1132.09
2006-04-19,1139.05
2006-04-20,1135.23
2006-04-21,1150.2
2006-04-24,1143.74
2006-04-25,1143.16
2006-04-26,1156.97
2006-04-27,1156.61
2006-04-28,1173.67
2006-05-08,1219.82
2006-05-09,1253.03
2006-05-10,1267.53
2006-05-11,1256.62
2006-05-12,1297.89
2006-05-15,1354.48
2006-05-16,1333.43
2006-05-17,1338.66
2006-05-18,1334.56
2006-05-19,1369.81
2006-05-22,1377.57
2006-05-23,1321.39
2006-05-24,1312.2
2006-05-25,1314.25
2006-05-26,1337.69
2006-05-29,1373.47
2006-05-30,1386.0
2006-05-31,1373.19
2006-06-01,1411.27
2006-06-02,1399.0
2006-06-05,1412.23
2006-06-06,1408.45
2006-06-07,1329.81
2006-06-08,1335.6
2006-06-09,1305.06
2006-06-12,1309.12
2006-06-13,1309.76
2006-06-14,1295.42
2006-06-15,1297.07
2006-06-16,1330.86
2006-06-19,1348.52
2006-06-20,1352.03
2006-06-21,1347.29
2006-06-22,1345.42
2006-06-23,1355.14
2006-06-26,1380.28
2006-06-27,1381.37
2006-06-28,1381.06
2006-06-29,1414.19
2006-06-30,1413.07
2006-07-03,1439.95
2006-07-04,1430.6
2006-07-05,1412.43
2006-07-06,1438.88
2006-07-07,1430.73
2006-07-10,1432.56
2006-07-11,1439.41
2006-07-12,1440.43
2006-07-13,1366.32
2006-07-14,1378.46
2006-07-17,1394.01
2006-07-18,1395.42
2006-07-19,1358.23
2006-07-20,1367.03
2006-07-21,1378.78
2006-07-24,1380.94
2006-07-25,1397.26
2006-07-26,1394.42
2006-07-27,1378.41
2006-07-28,1364.05
2006-07-31,1316.29
2006-08-01,1303.92
2006-08-02,1296.84
2006-08-03,1293.45
2006-08-04,1263.1
2006-08-07,1245.22
2006-08-08,1273.99
2006-08-09,1272.89
2006-08-10,1293.49
2006-08-11,1297.75
2006-08-14,1267.36
2006-08-15,1288.06
2006-08-16,1306.08
2006-08-17,1294.12
2006-08-18,1290.29
2006-08-21,1293.23
2006-08-22,1308.22
2006-08-23,1308.7
2006-08-24,1315.55
2006-08-25,1318.64
2006-08-28,1349.65
2006-08-29,1353.99
2006-08-30,1358.58
2006-08-31,1362.68
2006-09-01,1341.71
2006-09-04,1361.2
2006-09-05,1364.72
2006-09-06,1370.51
2006-09-07,1352.2
2006-09-08,1356.04
2006-09-11,1362.76
2006-09-12,1371.8
2006-09-13,1362.39
2006-09-14,1362.42
2006-09-15,1386.9
2006-09-18,1400.38
2006-09-19,1403.17
2006-09-20,1403.33
2006-09-21,1413.52
2006-09-22,1400.77
2006-09-25,1398.27
2006-09-26,1383.24
2006-09-27,1396.96
2006-09-28,1413.14
2006-09-29,1429.71
2006-10-09,1463.14
2006-10-10,1464.33
2006-10-11,1462.97
2006-10-12,1453.39
2006-10-13,1457.85
2006-10-16,1445.25
2006-10-17,1441.11
2006-10-18,1464.69
2006-10-19,1466.51
2006-10-20,1467.33
2006-10-23,1435.27
2006-10-24,1467.2
2006-10-25,1474.1
2006-10-26,1483.54
2006-10-27,1466.17
2006-10-30,1473.5
2006-10-31,1492.08
2006-11-01,1507.29
2006-11-02,1507.54
2006-11-03,1516.34
2006-11-06,1536.31
2006-11-07,1544.68
2006-11-08,1526.41
2006-11-09,1553.45
2006-11-10,1532.41
2006-11-13,1503.6
2006-11-14,1521.93
2006-11-15,1563.69
2006-11-16,1562.19
2006-11-17,1591.53
2006-11-20,1623.19
2006-11-21,1642.64
2006-11-22,1654.64
2006-11-23,1665.73
2006-11-24,1667.43
2006-11-27,1682.94
2006-11-28,1675.0
2006-11-29,1698.57
2006-11-30,1746.67
2006-12-01,1761.96
2006-12-04,1814.45
2006-12-05,1828.2
2006-12-06,1813.1
2006-12-07,1809.45
2006-12-08,1744.1
2006-12-11,1823.93
2006-12-12,1837.04
2006-12-13,1838.13
2006-12-14,1871.03
2006-12-15,1903.12
2006-12-18,1952.51
2006-12-19,1957.95
2006-12-20,1973.34
2006-12-21,1945.25
2006-12-22,1931.66
2006-12-25,1976.02
2006-12-26,1975.14
2006-12-27,2020.62
2006-12-28,2017.62
2006-12-29,2079.9
2007-01-04,2106.44
2007-01-05,2112.34
2007-01-08,2172.13
2007-01-09,2241.97
2007-01-10,2298.91
2007-01-11,2274.11
2007-01-12,2215.13
